position_id,pool_id,token_pair,entry_time,close_time,status_now,terminal_before_6h,terminal_before_12h,terminal_before_24h,position_mark_count_after_entry,pool_mark_count_after_entry,future_position_mark_6h,future_position_mark_12h,future_position_mark_24h,pool_mark_at_6h,pool_mark_at_12h,pool_mark_at_24h,nearest_position_mark_to_6h_seconds,nearest_position_mark_to_12h_seconds,nearest_position_mark_to_24h_seconds,nearest_pool_mark_to_6h_seconds,nearest_pool_mark_to_12h_seconds,nearest_pool_mark_to_24h_seconds,canonical_invalid_reason_6h,canonical_invalid_reason_12h,canonical_invalid_reason_24h,corrected_invalid_reason_candidate_6h,corrected_invalid_reason_candidate_12h,corrected_invalid_reason_candidate_24h
shadow-pos-cb15043da11c7e25ca7f64a4,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-30T12:34:45+00:00,2026-05-31T00:35:09+00:00,closed,False,False,True,722,965,True,True,False,True,True,False,22,22,,21682,82,,no_future_mark,no_future_mark,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,horizon_not_mature
shadow-pos-be9a6eabd2e675efc19537d7,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-30T00:33:46+00:00,2026-05-30T12:34:10+00:00,closed,False,False,True,722,1687,True,True,False,True,True,True,22,21,,21681,81,21,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,terminal_before_target
shadow-pos-d325eddfcd4750c01b3a64a6,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2026-05-30T04:26:29+00:00,2026-05-30T16:27:10+00:00,closed,False,False,True,723,1455,True,True,False,True,True,True,38,38,,21698,98,38,,no_future_mark,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,terminal_before_target
shadow-pos-536a8a53d04259debe56dd29,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-28T06:15:46+00:00,2026-05-28T08:16:10+00:00,closed,True,True,True,122,4231,False,False,False,True,True,True,,,,22,1,57,no_future_mark,no_future_mark,no_future_mark,terminal_before_target,terminal_before_target,terminal_before_target
shadow-pos-ce389e7376c6f270f123c06e,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-28T08:16:46+00:00,2026-05-28T10:17:12+00:00,closed,True,True,True,122,4109,False,False,False,True,True,True,,,,22,61,18,no_future_mark,no_future_mark,no_future_mark,terminal_before_target,terminal_before_target,terminal_before_target
shadow-pos-e3d5a3ea738b576db7bcbbe8,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-28T10:17:46+00:00,2026-05-28T12:18:11+00:00,closed,True,True,True,122,3987,False,False,False,True,True,True,,,,22,0,15,no_future_mark,no_future_mark,no_future_mark,terminal_before_target,terminal_before_target,terminal_before_target
shadow-pos-9da32edaa95fe2e43f1ba1a7,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-28T12:18:46+00:00,2026-05-29T00:19:47+00:00,closed,False,False,True,723,3865,True,True,False,True,True,True,58,58,,21721,121,14,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,terminal_before_target
shadow-pos-b60682a65fc987e4cafc2c35,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2026-05-28T15:57:43+00:00,2026-05-29T03:57:47+00:00,closed,False,False,True,722,3646,True,True,False,True,True,True,1,1,,21662,62,17,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,terminal_before_target
shadow-pos-6bfc5f6e3776703d8e52a015,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-29T00:20:43+00:00,2026-05-29T12:22:04+00:00,closed,False,False,True,723,3142,True,True,False,True,True,True,4,17,,21737,137,25,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,terminal_before_target
shadow-pos-e727d909ca2ff30cc5c3183e,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2026-05-29T03:58:43+00:00,2026-05-29T15:59:04+00:00,closed,False,False,True,722,2924,True,True,False,True,True,True,17,17,,21677,77,26,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,terminal_before_target
shadow-pos-a7e60847b4f934b210634528,0x4e962bb3889bf030368f56810a9c96b83cb3e778,0x4e962bb3889bf030368f56810a9c96b83cb3e778,2026-05-29T05:17:42+00:00,2026-05-29T18:48:11+00:00,closed,False,False,True,812,2842,True,True,False,True,True,True,21,25,,27085,5485,26,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,terminal_before_target
shadow-pos-05332d81d39fa35f6eb93cb6,0x4e962bb3889bf030368f56810a9c96b83cb3e778,0x4e962bb3889bf030368f56810a9c96b83cb3e778,2026-05-29T18:48:53+00:00,,open,False,False,False,2030,2030,True,True,True,False,False,False,14,15,14,,,,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,completed_strict_future_mark
shadow-pos-58c0de6d8fde29c378bbc29c,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,2026-05-29T05:01:43+00:00,2026-05-29T21:30:11+00:00,closed,False,False,True,990,2858,True,True,False,True,True,True,17,24,,37764,16164,57,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,terminal_before_target
shadow-pos-46950591f9141e70df2108ce,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,2026-05-29T21:31:00+00:00,,open,False,False,False,1868,1868,True,True,True,False,False,False,8,7,7,,,,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,completed_strict_future_mark
shadow-pos-3b1a247c6073bd4b9397a424,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,2026-05-29T12:22:46+00:00,2026-05-30T00:33:26+00:00,closed,False,False,True,732,2419,True,True,False,True,True,True,21,21,,22282,682,21,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,terminal_before_target
shadow-pos-d285d5b909006067a9d0a578,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2026-05-29T16:00:00+00:00,2026-05-30T04:25:30+00:00,closed,False,False,True,747,2202,True,True,False,True,True,True,8,9,,23197,1597,7,,,no_future_mark,completed_strict_future_mark,completed_strict_future_mark,terminal_before_target
