horizon,position_id,pool_id,token_pair,open_time,exit_time,holding_minutes,entry_value_usd,final_value_usd,net_pnl_pct,outcome_type,exit_reason,exit_action,score_open_decision,score_first_selected,score_max_before_open,score_median_before_open,selected_trace_count,top20_trace_count,decision_trace_count,terminal_future_flag,data_quality_status,invalid_reason,pool_position_count,root_cause
24h,shadow-pos-c5e8f94d64e82415136312e3,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:aerodrome-slipstream:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1779632243,1779688854,943,1000.0,974.5599918180734,-2.5440008181926563,terminal_exit_mark,"closed after 943m; final pnl -25.4400 USD (fees +3.3633, il -28.8033, price -5.6777%)",shadow_close,76.3915201648917,76.3915201648917,76.3915201648917,76.3915201648917,282,282,282,terminal,valid_terminal,"",4,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-2b1c5c39798221de81b22bb5,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,base:aerodrome-slipstream:0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,1779533423,1779577682,737,200.0,194.9560437174863,-2.5219781412568474,terminal_exit_mark,"closed after 737m; final pnl -5.0440 USD (fees +1.3727, il -6.4166, price +6.7392%)",shadow_close,60.1476644078684,60.1476644078684,60.1476644078684,60.1476644078684,314,0,314,terminal,valid_terminal,"",3,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-842896745e4337f71da620a9,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779346211,1779522662,2940,200.0,195.25810759460157,-2.370946202699221,terminal_exit_mark,"closed after 2940m; final pnl -4.7419 USD (fees +0.3838, il -5.1257, price -5.0600%)",shadow_close,62.1431613895643,62.1431613895643,62.1431613895643,62.1431613895643,2678,0,2678,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-b2b74e0686d4ef35496581ed,0x6c561b446416e1a00e8e93e221854d6ea4171372,base:uniswap-v3-base:0x6c561b446416e1a00e8e93e221854d6ea4171372,1779362600,1779523303,2678,200.0,195.54426040569214,-2.2278697971539247,terminal_exit_mark,"closed after 2678m; final pnl -4.4557 USD (fees +0.5263, il -4.9821, price -4.9200%)",shadow_close,63.6712808409811,63.6712808409811,63.6712808409811,63.6712808409811,2028,0,2028,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-bad539974a504c8a7456e535,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,base:aerodrome-slipstream:0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1779561712,1779632239,1175,1000.0,999.8023193156581,-0.019768068434194604,terminal_exit_mark,"closed after 1175m; final pnl -0.1977 USD (fees +24.6220, il -24.8196, price -4.9023%)",shadow_close,76.0533018504318,76.0533018504318,76.0533018504318,76.0533018504318,1149,1009,1149,terminal,valid_terminal,"",4,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-257085443f2329f36ad3ad97,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:uniswap-v3-base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,1779568808,1779576063,120,200.0,200.00006160070095,0.00003080035047585958,terminal_exit_mark,"closed after 120m; final pnl +0.0001 USD (fees +0.0001, il 0.0000, price +0.0126%)",shadow_close,70.0984322116561,70.0984322116561,70.0984322116561,70.0984322116561,121,0,121,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-7efaae8b9be88674cd389b29,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:uniswap-v3-base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,1779576119,1779594904,313,200.0,200.00012899101327,0.00006449550663820503,terminal_exit_mark,"closed after 313m; final pnl +0.0001 USD (fees +0.0001, il 0.0000, price +0.0052%)",shadow_close,70.1212409497623,70.1212409497623,70.1212409497623,70.1212409497623,312,0,312,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-canary-live-pos-87fed0fef84d468c20911210,0x6c561b446416e1a00e8e93e221854d6ea4171372,base:uniswap-v3-base:0x6c561b446416e1a00e8e93e221854d6ea4171372,1779504100,1779505946,30,4.803986804856903,4.803990126371387,0.00006914079116248526,terminal_exit_mark,hold: no current exit condition met,hold,64.3818262633823,64.3818262633823,64.3818262633823,64.3818262633823,1,0,1,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-68ad1af5798162ee842fb8a8,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:uniswap-v3-base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,1779594960,1779783244,3138,200.0,200.00050084024528,0.0002504201226380587,terminal_exit_mark,"closed after 3138m; final pnl +0.0005 USD (fees +0.0006, il -0.0001, price -0.1650%)",shadow_close,70.1177584762113,70.1177584762113,70.1177584762113,70.1177584762113,1226,0,1226,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-e2deacabdd6dcb7bc764a7bd,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:uniswap-v3-base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,1779344120,1779568751,3743,200.0,200.00155771679766,0.0007788583988254873,terminal_exit_mark,"closed after 3743m; final pnl +0.0016 USD (fees +0.0016, il 0.0000, price -0.0010%)",shadow_close,67.9458961036126,67.9458961036126,67.9458961036126,67.9458961036126,3479,0,3479,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-87f89e33d611c5b37a05cada,0x9a993fc0eec60faaa0c391ff11b840ce16685150,base:uniswap-v3-base:0x9a993fc0eec60faaa0c391ff11b840ce16685150,1779332693,1779344062,189,200.0,200.00168934265687,0.0008446713284300948,terminal_exit_mark,"closed after 189m; final pnl +0.0017 USD (fees +0.0017, il 0.0000, price -0.0053%)",shadow_close,67.9456201674152,67.9456201674152,67.9458961036126,67.9456894447663,106,0,106,terminal,valid_terminal,"",5,POSITION_DATA_QUALITY_FAIL
24h,shadow-pos-9878cd860310b5e6e2eb81b4,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,base:pancakeswap-v3-base:0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,1779610889,1779618165,121,200.0,200.01431500386275,0.007157501931379759,terminal_exit_mark,"closed after 121m; final pnl +0.0143 USD (fees +0.0147, il -0.0004, price +0.3950%)",shadow_close,62.8359790588285,62.8359790588285,62.8359790588285,62.8359790588285,118,0,118,terminal,valid_terminal,"",10,POSITION_DATA_QUALITY_FAIL
