pool_address,protocol,dex_id,name,token0_symbol,token1_symbol,token0_address,token1_address,fee_tier_bps,tvl_usd,volume_usd_h24,volume_usd_h6,volume_usd_h1,price_change_pct_h24,price_change_pct_h6,tx_count_h24,buys_h24,sells_h24,buyers_h24,sellers_h24,pool_created,data_source,fetched_at
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,aerodrome,aerodrome-slipstream,WETH / USDC 0.05%,WETH,USDC,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,8481774.1581,133263196.399081,27304919.8730029,3253377.11834465,0.602,1.007,40462,20245,20217,1338,1490,2024-05-06T05:03:45Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x4e962bb3889bf030368f56810a9c96b83cb3e778,aerodrome,aerodrome-slipstream,cbBTC / USDC 0.05%,cbBTC,USDC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,9171570.3533,117596882.184985,23954780.5558389,2960179.40197946,1.024,0.725,53438,27514,25924,1621,1728,2024-09-12T13:56:07Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,uniswap-v3-base,WETH / USDC 0.3%,WETH,USDC,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,30,95528681.5918,114023465.272292,21450178.1504483,3988733.49404092,0.577,0.982,8720,4966,3754,698,633,2023-11-18T05:59:09Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome,aerodrome-slipstream,cbBTC / WETH 0.05%,cbBTC,WETH,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x4200000000000000000000000000000000000006,5,12383995.527,82051631.158721,19007473.111022,2318444.36072844,1.023,0.711,35360,19077,16283,2484,2126,2024-09-12T13:53:26Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xca0355f7bbfa021d0eee23b543610bd3242e8bd0e8c37c2f4fd32bd70aa4b255,aerodrome,uniswap-v4-base,SpaceX / USDC 0.01%,SpaceX,USDC,0xf06336b1a6a38d26b22ea488e4614474b85eab07,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,6534.1368,65602238.4454149,0.0,0.0,98745.041,0.0,4457,2298,2159,95,31,2026-06-10T04:31:01Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xc2defe8d0eb168655db539c67115c0e6d7ad96c0ccc2494072b8cbe8ba3f25f0,aerodrome,uniswap-v4-base,SpaceX / USDC 0.01%,SpaceX,USDC,0x81cf52134b7d67befbd6098d9dc8e1a434b24b07,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,4270.2421,56571678.8751231,6603.5632999947,0.0,49472.163,-2.046,3509,1868,1641,129,46,2026-06-10T10:27:13Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x376369e6304027f592f16cf4196952003e2643fbee1f0cd2223ea9aac49946eb,aerodrome,uniswap-v4-base,SpaceX / USDC 0.01%,SpaceX,USDC,0xdcbb0e7f86b35777f49e81e3a2c166efec5c2b07,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,1089455.779,48120340.9742715,48120340.9742715,13427115.0109061,99381.068,99381.068,906,480,426,50,4,2026-06-11T01:41:53Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,aerodrome,pancakeswap-v3-base,cbBTC / WETH 0.01%,cbBTC,WETH,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x4200000000000000000000000000000000000006,1,3657760.1852,47946386.5288782,8160822.35571906,1288053.34926808,1.046,0.718,30919,16163,14756,2137,1581,2024-09-13T06:45:47Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,pancakeswap-v3-base,WETH / USDC 0.01%,WETH,USDC,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,3903964.8107,47474328.8330754,7791991.1163985,1032160.44998239,0.602,1.007,113221,57374,55847,3929,4567,2023-10-18T05:54:25Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x0039cff34af698c8600351dc1aef2b218f83cd2c04d4c55703d946933574a4b4,aerodrome,uniswap-v4-base,SpaceX / USDC 0.01%,SpaceX,USDC,0x915139ab06882dba63d01fb7cb26f5546a095b07,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,983645.189,47047185.694393,27163.8998966121,237.2807981414,99517.896,-0.332,7440,3816,3624,114,22,2026-06-10T14:40:41Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome,aerodrome-slipstream-3,cbBTC / WETH 0.05%,cbBTC,WETH,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x4200000000000000000000000000000000000006,5,3341213.7187,42129739.5164709,10618361.5248815,1361773.25528307,1.001,0.688,14732,7545,7187,750,603,2026-04-22T21:55:43Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome,aerodrome-slipstream-3,cbBTC / USDC 0.05%,cbBTC,USDC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,2536781.7205,37703549.1837934,8083834.52802275,908222.587543494,1.075,0.769,21664,10603,11061,656,764,2026-04-22T21:52:40Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x3fe04a59ebd38cf06080a6f60a98d124eb59392a,aerodrome,aerodrome-slipstream-3,WETH / USDC 0.05%,WETH,USDC,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,2950253.6709,34296454.0268803,7974151.88005322,1229443.45355315,0.6,0.982,16169,8046,8123,561,589,2026-04-22T21:59:50Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xd0b53d9277642d899df5c87a3966a349a798f224,aerodrome,uniswap-v3-base,USDC / WETH 0.05%,USDC,WETH,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0x4200000000000000000000000000000000000006,5,9410731.4999,29035281.4967497,5411001.66592433,847211.798572303,0.072,0.158,29191,14811,14380,1895,1852,2024-03-23T12:55:07Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x0ab02e160f0df68dc049b012c514857306960eae,aerodrome,aerodrome-slipstream-3,CTR / USDC 0.018%,CTR,USDC,0x11030f79109269d796fd0fb956d6244e502757f7,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1.8,587051.9291,26092521.1011273,1960707.32011897,332218.362919229,-16.033,1.17,216656,108008,108648,1943,1937,2026-05-26T12:53:05Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xbbb2728901b3ebf17428b8a34441bfdc40247224,aerodrome,uniswap-v3-base,CTR / USDC 0.03%,CTR,USDC,0x11030f79109269d796fd0fb956d6244e502757f7,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,3,6763.3239,24948552.7181615,1172179.22922938,182159.610428377,-15.957,1.134,155712,78064,77648,1748,1768,2026-06-10T00:25:09Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,aerodrome,pancakeswap-v3-base,cbBTC / USDC 0.01%,cbBTC,USDC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,2335802.1799,22644739.2200665,4517754.32649993,494133.698350095,1.068,0.769,41393,20300,21093,1570,1871,2024-09-13T06:47:43Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,aerodrome,pancakeswap-v3-base,PLAY / USDC 0.01%,PLAY,USDC,0x853a7c99227499dba9db8c3a02aa691afdebf841,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,554625.3698,16924804.0059667,3167854.65036543,571228.212197348,-46.173,33.515,109286,51887,57399,2916,3514,2026-05-04T09:55:11Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x12d76c5c8ec8edffd3c143995b0aa43fe44a6d71eb9113796272909e54b8e078,aerodrome,uniswap-v4-base,cbBTC / USDC 0.05%,cbBTC,USDC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,3993896.8526,16454060.6412459,3147883.8372402,370832.456354412,0.978,0.823,10893,5378,5515,351,366,2025-01-29T22:05:51Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,aerodrome,uniswap-v3-base,cbBTC / USDC 0.05%,cbBTC,USDC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,7276211.0203,15559709.2325096,2874876.56431727,347311.544201883,0.978,0.844,11913,5893,6020,625,593,2024-09-14T12:04:07Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,aerodrome,aerodrome-slipstream,USDT / USDC 0.01%,USDT,USDC,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,1090337.8093,15400336.797491,2990101.04167408,815891.970520702,0.444,0.411,7785,5339,2446,1487,778,2024-07-24T23:03:23Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x841c1a22d9a505cbba3e9bf90fd43e1201a09932ca0a90816579346be5f092af,aerodrome,uniswap-v4-base,USDC / USDT 0.01%,USDC,USDT,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,1,389491.3608,15119935.8025296,3893645.21882737,536235.202157606,-0.91,-0.265,3762,3061,701,812,58,2025-01-30T16:55:35Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x6b0f53cbd9272d8117e9535fe25371dedf39a1be,aerodrome,aerodrome-slipstream,VELVET / USDC 0.01%,VELVET,USDC,0xbf927b841994731c573bdf09ceb0c6b0aa887cdd,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,762385.659,8777078.25956752,2744604.4604713,460233.731046302,115.679,5.885,95117,47445,47672,2433,2220,2025-08-23T23:44:37Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xd08f1fb797bfacded23323178672557034c64cfa,aerodrome,uniswap-v3-base,deSPXA / USDC 0.05%,deSPXA,USDC,0x9c5c365e764829876243d0b289733b9d2b729685,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,3465066.1995,7285474.02743657,894535.621936905,46475.3225864556,-0.573,0.545,2275,1123,1152,316,200,2026-05-04T10:09:21Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x3e66e55e97ce60096f74b7c475e8249f2d31a9fb,aerodrome,aerodrome-slipstream,USDC / cbBTC 1%,USDC,cbBTC,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,100,2889224.8598,7095167.22115343,1372272.50986533,160116.132086909,-0.213,-0.271,10377,5237,5140,488,409,2025-03-12T06:42:10Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x7aea2e8a3843516afa07293a10ac8e49906dabd1,aerodrome,uniswap-v3-base,cbBTC / WETH 0.05%,cbBTC,WETH,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x4200000000000000000000000000000000000006,5,2738202.0425,6108338.94708627,1365225.51689278,273664.811314133,0.943,0.778,5293,2625,2668,452,311,2024-09-13T15:24:23Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xf27e69b35f31d986b61b9142c65e659015b0d2c8f68becb2d08af4b88c9d9e7c,aerodrome,uniswap-v4-base,America250 / WETH 0.01%,America250,WETH,0x8bf7e8e85c357cf0ab260a72d39bc942820509f5,0x4200000000000000000000000000000000000006,1,86133.6361,6034696.91188479,1554406.84848068,389169.753682583,1712.349,7.835,16438,8800,7638,1183,1033,2026-06-10T05:45:47Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x037ac9012eca27bf284ad0108b32257a0c56362f,aerodrome,pancakeswap-v3-base,VELVET / USDC 0.01%,VELVET,USDC,0xbf927b841994731c573bdf09ceb0c6b0aa887cdd,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,368626.1876,5986982.83178752,40984.2164111475,4845.7534351341,115.401,5.664,75711,37785,37926,1800,2027,2025-09-30T07:50:55Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x3f0296bf652e19bca772ec3df08b32732f93014a,aerodrome,aerodrome-slipstream,VIRTUAL / WETH 0.05%,VIRTUAL,WETH,0x0b3e328455c4059eeb9e3f84b5543f74e24e7e1b,0x4200000000000000000000000000000000000006,5,444769.7686,5973019.044212,1163761.08538076,153258.220206472,-2.268,2.375,24073,12462,11611,1874,1659,2025-01-06T20:15:25Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xc4dfd2d0e26ed19e7a384b5acd6b808fed11d4ffe32c5ca2b1d01a1917ef9571,aerodrome,uniswap-v4-base,America250 / WETH 0.01%,America250,WETH,0xc8fd9fcf62dab9cb9ac367e9ce16ac1a2138a1ad,0x4200000000000000000000000000000000000006,1,416.5291,5612803.27673901,435457.97534979,0.0,-72.603,-57.274,13704,6739,6965,1389,1720,2026-06-10T01:13:25Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xb775272e537cc670c65dc852908ad47015244eaf,aerodrome,pancakeswap-v3-base,WETH / USDC 0.05%,WETH,USDC,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,1303773.6153,5775984.58741442,1110411.32537188,149974.798103963,0.6,0.982,12023,6102,5921,415,570,2023-09-18T05:38:23Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xe846373c1a92b167b4e9cd5d8e4d6b1db9e90ec7,aerodrome,aerodrome-slipstream,EURC / USDC 0.05%,EURC,USDC,0x60a3e35cc302bfa44cb288bc5a4f316fdb1adb42,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,2854095.3119,5702435.07522135,798919.272556401,124272.29433644,-0.694,-0.383,4982,2450,2532,572,561,2024-08-01T14:10:35Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x9d14ff91ae2c6e3d1a760542248b6c7f206894b0,aerodrome,aerodrome-slipstream-3,cbBTC / USDC 0.021%,cbBTC,USDC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,2.1,723013.5575,5579771.82782605,1202495.12139173,150453.842436067,1.031,0.725,16333,8197,8136,710,748,2026-04-16T04:45:02Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0xf13203ddbf2c9816a79b656a1a952521702715d92fea465b84ae2ed6e94a7f22,unknown,uniswap-v4-base,USDT / USDC,USDT,USDC,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,0,2486463.9328,5306663.90346185,986690.407758388,816561.752757492,0.457,0.404,7421,3238,4183,708,1085,2025-05-03T11:29:17Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,aerodrome,hydrex-integral,WETH / cbBTC 0.05%,WETH,cbBTC,0x4200000000000000000000000000000000000006,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,5,1323714.541,5144867.76176446,1222851.45186939,166584.318891334,0.512,1.188,11107,5514,5593,1135,1238,2025-07-09T07:31:10Z,geckoterminal_api_v2_base,2026-06-11T03:17:32Z
