rank,pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,risk_score,best_size_usdc,best_range_label,best_range_pct,expected_fee_usd_per_day,expected_il_usd_per_day,gas_usd_per_cycle,net_usd_per_day,fee_to_gas_ratio,score,go_no_go,reason
1,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,aerodrome,WETH / USDC 0.05%,WETH,USDC,5,8481774.1581,133263196.399081,0.602,LOW,0,10.0,narrow_5pct,0.05,0.078559,0.03612,0.3,-0.257561,0.2619,0.2248,NEED_MORE_DATA,"bluechip_or_onestable, near_breakeven net=-0.2576"
2,0x3fe04a59ebd38cf06080a6f60a98d124eb59392a,aerodrome,WETH / USDC 0.05%,WETH,USDC,5,2950253.6709,34296454.0268803,0.6,LOW,0,10.0,narrow_5pct,0.05,0.058125,0.036,0.3,-0.277875,0.1937,0.2182,NEED_MORE_DATA,"bluechip_or_onestable, near_breakeven net=-0.2779"
3,0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,aerodrome,WETH / USDC 0.05%,WETH,USDC,5,451285.6693,4685391.76916683,0.577,LOW,0,10.0,narrow_5pct,0.05,0.051912,0.03462,0.3,-0.282708,0.173,0.2166,NEED_MORE_DATA,"bluechip_or_onestable, near_breakeven net=-0.2827"
4,0xd0b53d9277642d899df5c87a3966a349a798f224,aerodrome,USDC / WETH 0.05%,USDC,WETH,5,9410731.4999,29035281.4967497,0.072,LOW,0,10.0,narrow_5pct,0.05,0.015427,0.00432,0.3,-0.288893,0.0514,0.2137,NEED_MORE_DATA,"bluechip_or_onestable, near_breakeven net=-0.2889"
5,0x6c561b446416e1a00e8e93e221854d6ea4171372,aerodrome,WETH / USDC 0.3%,WETH,USDC,30,95528681.5918,114023465.272292,0.577,LOW,0,10.0,narrow_5pct,0.05,0.035808,0.03462,0.3,-0.298812,0.1194,0.2113,NEED_MORE_DATA,"bluechip_or_onestable, near_breakeven net=-0.2988"
6,0xb775272e537cc670c65dc852908ad47015244eaf,aerodrome,WETH / USDC 0.05%,WETH,USDC,5,1303773.6153,5775984.58741442,0.6,LOW,0,1.0,narrow_5pct,0.05,0.002215,0.0036,0.3,-0.301385,0.0074,0.2096,NEED_MORE_DATA,"bluechip_or_onestable, near_breakeven net=-0.3014"
7,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,3903964.8107,47474328.8330754,0.602,LOW,0,1.0,narrow_5pct,0.05,0.001216,0.003612,0.3,-0.302396,0.0041,0.2093,NEED_MORE_DATA,"bluechip_or_onestable, near_breakeven net=-0.3024"
8,0xb4cb800910b228ed3d0834cf79d697127bbb00e5,aerodrome,WETH / USDC 0.01%,WETH,USDC,1,390853.5005,3137639.7550916,0.674,LOW,0,1.0,narrow_5pct,0.05,0.000803,0.004044,0.3,-0.303241,0.0027,0.209,NEED_MORE_DATA,"bluechip_or_onestable, near_breakeven net=-0.3032"
9,0x3e66e55e97ce60096f74b7c475e8249f2d31a9fb,aerodrome,USDC / cbBTC 1%,USDC,cbBTC,100,2889224.8598,7095167.22115343,-0.213,MEDIUM,25,10.0,narrow_5pct,0.05,0.245573,0.01278,0.3,-0.067207,0.8186,0.2864,NO_GO,risk=MEDIUM
10,0x9785ef59e2b499fb741674ecf6faf912df7b3c1b,aerodrome,USDT / WETH 0.05%,USDT,WETH,5,180457.5018,2491217.95072521,-0.033,MEDIUM,25,10.0,narrow_5pct,0.05,0.069025,0.00198,0.3,-0.232955,0.2301,0.232,NO_GO,risk=MEDIUM
11,0xaa5fe7dcc07dcb8b7afcd1b93874e7cb1e0ab50b,aerodrome,EURC / WETH 0.05%,EURC,WETH,5,482828.4676,2804636.46050842,-0.03,MEDIUM,25,10.0,narrow_5pct,0.05,0.029044,0.0018,0.3,-0.272756,0.0968,0.2189,NO_GO,risk=MEDIUM
