pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,fee_per_dollar_per_day,il_pct_per_day,gas_cycle_usd,min_viable_size_usdc,min_viable_hours,expected_net_at_mvs,expected_fee_at_mvs,expected_il_at_mvs,passes_gas_at_10usdc_24h,passes_gas_at_50usdc_24h,passes_gas_at_50usdc_7d
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,aerodrome-slipstream,WETH / USDC 0.05%,WETH,USDC,5,8742318.4584,134650766.605207,0.00770109,0.003708,0.3,25.0,168,0.398791,1.347691,0.6489,False,False,True
0x4e962bb3889bf030368f56810a9c96b83cb3e778,aerodrome-slipstream,cbBTC / USDC 0.05%,cbBTC,USDC,5,9240186.7229,120355850.697581,0.00651263,0.005535,0.3,50.0,168,0.042171,2.279421,1.93725,False,False,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,uniswap-v3-base,WETH / USDC 0.3%,WETH,USDC,30,96309082.0801,117238738.117396,0.00365195,0.003774,0.3,,,,,,False,False,False
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome-slipstream,cbBTC / WETH 0.05%,cbBTC,WETH,5,12476924.3528,83327150.5549506,0.00333925,0.005526,0.3,,,,,,False,False,False
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,pancakeswap-v3-base,cbBTC / WETH 0.01%,cbBTC,WETH,1,3686536.4993,49041889.610828,0.0013303,0.00552,0.3,,,,,,False,False,False
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,pancakeswap-v3-base,WETH / USDC 0.01%,WETH,USDC,1,3931250.374,48559486.4057044,0.00123522,0.003708,0.3,,,,,,False,False,False
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome-slipstream,cbBTC / WETH 0.05%,cbBTC,WETH,5,3405173.7793,43077399.3630572,0.00632529,0.005613,0.3,,,,,,False,False,False
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome-slipstream,cbBTC / USDC 0.05%,cbBTC,USDC,5,2541150.2844,38343138.1987249,0.00754445,0.005553,0.3,25.0,168,0.048503,1.320278,0.971775,False,False,True
0x3fe04a59ebd38cf06080a6f60a98d124eb59392a,aerodrome-slipstream,WETH / USDC 0.05%,WETH,USDC,5,3183446.0776,34843015.7491768,0.00547253,0.003711,0.3,25.0,168,0.008268,0.957693,0.649425,False,False,True
0xd0b53d9277642d899df5c87a3966a349a798f224,uniswap-v3-base,USDC / WETH 0.05%,USDC,WETH,5,9445385.2679,29792513.380413,0.00157709,0.000507,0.3,50.0,168,0.074533,0.551983,0.17745,False,False,True
0x0ab02e160f0df68dc049b012c514857306960eae,aerodrome-slipstream,CTR / USDC 0.018%,CTR,USDC,1.8,594584.0485,24963647.6837271,0.00755731,0.045486,0.3,,,,,,False,False,False
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,pancakeswap-v3-base,cbBTC / USDC 0.01%,cbBTC,USDC,1,2352918.5927,23367289.1390456,0.00099312,0.005541,0.3,,,,,,False,False,False
0x12d76c5c8ec8edffd3c143995b0aa43fe44a6d71eb9113796272909e54b8e078,uniswap-v4-base,cbBTC / USDC 0.05%,cbBTC,USDC,5,4019538.021,16785394.7889585,0.00208798,0.00552,0.3,,,,,,False,False,False
0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,uniswap-v3-base,cbBTC / USDC 0.05%,cbBTC,USDC,5,7326622.6852,16095649.7296072,0.00109844,0.005541,0.3,,,,,,False,False,False
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,aerodrome-slipstream,USDT / USDC 0.01%,USDT,USDC,1,1118884.1321,15366636.3958243,0.00137339,0.000708,0.3,,,,,,False,False,False
0x841c1a22d9a505cbba3e9bf90fd43e1201a09932ca0a90816579346be5f092af,uniswap-v4-base,USDC / USDT 0.01%,USDC,USDT,1,394955.7385,15103361.5911396,0.00382406,0.001581,0.3,25.0,168,0.092536,0.669211,0.276675,False,False,True
0x3e66e55e97ce60096f74b7c475e8249f2d31a9fb,aerodrome-slipstream,USDC / cbBTC 1%,USDC,cbBTC,100,2916582.9369,7350171.06928329,0.02520131,0.001143,0.3,3.0,168,0.205225,0.529228,0.024003,False,True,True
0xd08f1fb797bfacded23323178672557034c64cfa,uniswap-v3-base,deSPXA / USDC 0.05%,deSPXA,USDC,5,3450550.8416,7318030.34409994,0.00106041,0.005457,0.3,,,,,,False,False,False
0x7aea2e8a3843516afa07293a10ac8e49906dabd1,uniswap-v3-base,cbBTC / WETH 0.05%,cbBTC,WETH,5,2754917.7029,6260400.99108378,0.00113622,0.005697,0.3,,,,,,False,False,False
