pool_address,protocol,name,token0_symbol,token1_symbol,reward_token,reward_apr_est,reward_usd_per_day_per_dollar,gauge_active,emission_continuity,reward_claim_gas_usd,reward_sell_liquidity,reward_token_risk,reward_data_unavailable,data_source_note
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,aerodrome-slipstream,WETH / USDC 0.05%,WETH,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x4e962bb3889bf030368f56810a9c96b83cb3e778,aerodrome-slipstream,cbBTC / USDC 0.05%,cbBTC,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x6c561b446416e1a00e8e93e221854d6ea4171372,uniswap-v3-base,WETH / USDC 0.3%,WETH,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,aerodrome-slipstream,cbBTC / WETH 0.05%,cbBTC,WETH,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0xca0355f7bbfa021d0eee23b543610bd3242e8bd0e8c37c2f4fd32bd70aa4b255,uniswap-v4-base,SpaceX / USDC 0.01%,SpaceX,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0xc2defe8d0eb168655db539c67115c0e6d7ad96c0ccc2494072b8cbe8ba3f25f0,uniswap-v4-base,SpaceX / USDC 0.01%,SpaceX,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,pancakeswap-v3-base,cbBTC / WETH 0.01%,cbBTC,WETH,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,pancakeswap-v3-base,WETH / USDC 0.01%,WETH,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x376369e6304027f592f16cf4196952003e2643fbee1f0cd2223ea9aac49946eb,uniswap-v4-base,SpaceX / USDC 0.01%,SpaceX,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x0039cff34af698c8600351dc1aef2b218f83cd2c04d4c55703d946933574a4b4,uniswap-v4-base,SpaceX / USDC 0.01%,SpaceX,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome-slipstream,cbBTC / WETH 0.05%,cbBTC,WETH,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x160d7e9d948b16c163332a277b393c288408eb12,aerodrome-slipstream,cbBTC / USDC 0.05%,cbBTC,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x3fe04a59ebd38cf06080a6f60a98d124eb59392a,aerodrome-slipstream,WETH / USDC 0.05%,WETH,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0xd0b53d9277642d899df5c87a3966a349a798f224,uniswap-v3-base,USDC / WETH 0.05%,USDC,WETH,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x0ab02e160f0df68dc049b012c514857306960eae,aerodrome-slipstream,CTR / USDC 0.018%,CTR,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0xbbb2728901b3ebf17428b8a34441bfdc40247224,uniswap-v3-base,CTR / USDC 0.03%,CTR,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,pancakeswap-v3-base,cbBTC / USDC 0.01%,cbBTC,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,pancakeswap-v3-base,PLAY / USDC 0.01%,PLAY,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x12d76c5c8ec8edffd3c143995b0aa43fe44a6d71eb9113796272909e54b8e078,uniswap-v4-base,cbBTC / USDC 0.05%,cbBTC,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,uniswap-v3-base,cbBTC / USDC 0.05%,cbBTC,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,aerodrome-slipstream,USDT / USDC 0.01%,USDT,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x841c1a22d9a505cbba3e9bf90fd43e1201a09932ca0a90816579346be5f092af,uniswap-v4-base,USDC / USDT 0.01%,USDC,USDT,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
0x6b0f53cbd9272d8117e9535fe25371dedf39a1be,aerodrome-slipstream,VELVET / USDC 0.01%,VELVET,USDC,,,,,,,,,True,Aerodrome public subgraph is offline; no public free replacement returns gauge reward data today. AERO paired pools retain theoretical AERO emissions but no per-pool rate is observable without on-chain voter contract address and historical state.
