chain,protocol,pool_address,name,token0_symbol,token1_symbol,token0_address,token1_address,fee_tier_bps,pool_type,tvl_usd,volume_usd_h24,volume_usd_h6,volume_usd_h1,price_change_pct_h24,price_change_pct_h6,price_change_pct_h1,tx_count_h24,buys_h24,sells_h24,buyers_h24,sellers_h24,pool_age_days,pool_created,data_source,data_quality_score,fetched_at,risk_score,risk_level,risk_flags,is_blue,is_aero,is_stable,is_os,age_days,vol_to_tvl
base,aerodrome-slipstream,0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH / USDC 0.05%,WETH,USDC,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,CLMM,8742318.4584,134650766.605207,25989380.7659509,4684677.43321959,1.236,2.766,0.801,40509,20184,20325,1318,1450,765.9686857433334,2024-05-06T05:03:45Z,geckoterminal,0.85,2026-06-11T04:18:39Z,0,LOW,,True,False,False,True,766.0,15.402
base,aerodrome-slipstream,0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC / USDC 0.05%,cbBTC,USDC,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,5,CLMM,9240186.7229,120355850.697581,24315364.1820515,5216863.6247125,1.845,2.424,0.892,53974,27705,26269,1660,1753,636.5989866718519,2024-09-12T13:56:07Z,geckoterminal+dexscreener,0.85,2026-06-11T04:18:39Z,30,MEDIUM,non_bluechip_pair,False,False,False,False,636.6,13.025
base,uniswap-v3-base,0x6c561b446416e1a00e8e93e221854d6ea4171372,WETH / USDC 0.3%,WETH,USDC,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,30,CLMM,96309082.0801,117238738.117396,22719440.861217,5051102.07142224,1.258,2.789,0.91,8655,4895,3760,690,635,935.9302135241667,2023-11-18T05:59:09Z,geckoterminal,0.85,2026-06-11T04:18:39Z,0,LOW,,True,False,False,True,935.9,1.217
base,aerodrome-slipstream,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC / WETH 0.05%,cbBTC,WETH,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x4200000000000000000000000000000000000006,5,CLMM,12476924.3528,83327150.5549506,15888252.7416916,3225787.86512497,1.842,2.386,0.936,35937,19360,16577,2495,2171,636.6008500986111,2024-09-12T13:53:26Z,geckoterminal+dexscreener,0.85,2026-06-11T04:18:39Z,30,MEDIUM,non_bluechip_pair,False,False,False,False,636.6,6.679
base,uniswap-v4-base,0xca0355f7bbfa021d0eee23b543610bd3242e8bd0e8c37c2f4fd32bd70aa4b255,SpaceX / USDC 0.01%,SpaceX,USDC,0xf06336b1a6a38d26b22ea488e4614474b85eab07,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,CLMM,6584.9397,65602238.4454149,0.0,0.0,98745.041,0.0,0.0,4457,2298,2159,95,31,0.99141722875,2026-06-10T04:31:01Z,geckoterminal,0.85,2026-06-11T04:18:39Z,160,REJECT,non_bluechip_pair;tvl_below_floor:6585;suspect_wash:9962.5;abs_pc24_gt_35:98745.0;young_pool:1d,False,False,False,False,1.0,9962.466
base,uniswap-v4-base,0xc2defe8d0eb168655db539c67115c0e6d7ad96c0ccc2494072b8cbe8ba3f25f0,SpaceX / USDC 0.01%,SpaceX,USDC,0x81cf52134b7d67befbd6098d9dc8e1a434b24b07,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,CLMM,4303.4432,56571678.8751231,6543.2744131186,0.0,49472.163,-2.79,0.0,3509,1868,1641,129,46,0.7440561179976852,2026-06-10T10:27:13Z,geckoterminal,0.85,2026-06-11T04:18:39Z,160,REJECT,non_bluechip_pair;tvl_below_floor:4303;suspect_wash:13145.7;abs_pc24_gt_35:49472.2;young_pool:1d,False,False,False,False,0.7,13145.678
base,pancakeswap-v3-base,0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC / WETH 0.01%,cbBTC,WETH,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,0x4200000000000000000000000000000000000006,1,CLMM,3686536.4993,49041889.610828,8452804.38906839,2292278.63199995,1.84,2.367,0.923,31411,16424,14987,2180,1621,635.8978292666898,2024-09-13T06:45:47Z,geckoterminal+dexscreener,0.85,2026-06-11T04:18:39Z,30,MEDIUM,non_bluechip_pair,False,False,False,False,635.9,13.303
base,pancakeswap-v3-base,0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH / USDC 0.01%,WETH,USDC,0x4200000000000000000000000000000000000006,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,CLMM,3931250.374,48559486.4057044,8044450.92049786,1965142.97296965,1.236,2.766,0.801,114840,57684,57156,3994,4831,966.9335005633797,2023-10-18T05:54:25Z,geckoterminal,0.85,2026-06-11T04:18:39Z,0,LOW,,True,False,False,True,966.9,12.352
base,uniswap-v4-base,0x376369e6304027f592f16cf4196952003e2643fbee1f0cd2223ea9aac49946eb,SpaceX / USDC 0.01%,SpaceX,USDC,0xdcbb0e7f86b35777f49e81e3a2c166efec5c2b07,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,CLMM,1095124.7054,48126536.0342545,48126536.0342545,5978.7404691598,99335.086,99335.086,-0.139,1617,854,763,70,10,0.1088709340625,2026-06-11T01:41:53Z,geckoterminal,0.85,2026-06-11T04:18:39Z,95,REJECT,non_bluechip_pair;abs_pc24_gt_35:99335.1;abs_pc6_gt_20:99335.1;young_pool:0d,False,False,False,False,0.1,43.946
base,uniswap-v4-base,0x0039cff34af698c8600351dc1aef2b218f83cd2c04d4c55703d946933574a4b4,SpaceX / USDC 0.01%,SpaceX,USDC,0x915139ab06882dba63d01fb7cb26f5546a095b07,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,1,CLMM,990119.137,47047389.9668877,22275.2353468007,204.7555909124,99485.809,-1.252,-0.032,7455,3825,3630,117,25,0.5680376010185185,2026-06-10T14:40:41Z,geckoterminal,0.85,2026-06-11T04:18:39Z,80,REJECT,non_bluechip_pair;abs_pc24_gt_35:99485.8;young_pool:1d,False,False,False,False,0.6,47.517
