size_usdc,size_label,gwei_label,gwei,total_gas_per_cycle,cycle_cost_usd,fee_to_break_even_per_day
1,1U,current_0.006gwei,0.006,962480,0.009546,0.009546
1,1U,typical_0.05gwei,0.05,962480,0.079549,0.079549
1,1U,conservative_0.10gwei,0.1,962480,0.159098,0.159098
1,1U,high_0.50gwei,0.5,962480,0.79549,0.79549
3,3U,current_0.006gwei,0.006,962480,0.009546,0.003182
3,3U,typical_0.05gwei,0.05,962480,0.079549,0.026516
3,3U,conservative_0.10gwei,0.1,962480,0.159098,0.053033
3,3U,high_0.50gwei,0.5,962480,0.79549,0.265163
5,5U,current_0.006gwei,0.006,962480,0.009546,0.001909
5,5U,typical_0.05gwei,0.05,962480,0.079549,0.01591
5,5U,conservative_0.10gwei,0.1,962480,0.159098,0.03182
5,5U,high_0.50gwei,0.5,962480,0.79549,0.159098
10,10U,current_0.006gwei,0.006,962480,0.009546,0.000955
10,10U,typical_0.05gwei,0.05,962480,0.079549,0.007955
10,10U,conservative_0.10gwei,0.1,962480,0.159098,0.01591
10,10U,high_0.50gwei,0.5,962480,0.79549,0.079549
25,25U,current_0.006gwei,0.006,962480,0.009546,0.000382
25,25U,typical_0.05gwei,0.05,962480,0.079549,0.003182
25,25U,conservative_0.10gwei,0.1,962480,0.159098,0.006364
25,25U,high_0.50gwei,0.5,962480,0.79549,0.03182
50,50U,current_0.006gwei,0.006,962480,0.009546,0.000191
50,50U,typical_0.05gwei,0.05,962480,0.079549,0.001591
50,50U,conservative_0.10gwei,0.1,962480,0.159098,0.003182
50,50U,high_0.50gwei,0.5,962480,0.79549,0.01591
