pool_address,protocol,name,token0_symbol,token1_symbol,fee_tier_bps,tvl_usd,volume_usd_h24,price_change_pct_h24,risk_level,risk_score,data_quality_score,fee_per_dollar_per_day,fee_apr_est,min_viable_size_usdc,min_viable_hours,expected_net_at_mvs,passes_10usdc_24h,passes_50usdc_24h,passes_50usdc_7d,is_aero_paired,is_blue_chip_pair,fee_score,volume_persistence_score,tvl_depth_score,volatility_fit_score,gas_efficiency_score,token_risk_penalty,score,go_no_go,rank,r1_cycle_cost_usd,r2_cycle_cost_usd_observed,r1_expected_net_at_50_7d,r2_expected_net_at_50_7d,r2_passes_50_7d,r2_passes_10_24h,r2_passes_25_7d,r2_passes_50_24h
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,pancakeswap-v3-base,cbBTC / USDC 0.01%,cbBTC,USDC,1,2352918.5927,23367289.1390456,1.847,MEDIUM,30,0.85,0.02520131,9.1985,3.0,168,0.205225,False,True,True,False,False,1.0,1.0,0.9102,0.9384,1.0,0.2,0.6774,NEED_MORE_DATA,5,0.3,0.0795,0.2052,8.7409,True,True,True,True
0x7501bc8bb51616f79bfa524e464fb7b41f0b10fb,aerodrome-slipstream,msUSD / USDC 0.05%,msUSD,USDC,5,20213254.727,4567978.80351028,-0.394,MEDIUM,30,0.85,0.02390081,8.7238,3.0,168,0.090407,False,True,True,False,False,1.0,0.0452,1.0,0.9869,1.0,0.2,0.548,NEED_MORE_DATA,10,0.3,0.0795,0.0904,8.2857,True,True,True,True
0x74f72788f4814d7ff3c49b44684aa98eee140c0e,aerodrome-slipstream,msETH / WETH 0.05%,msETH,WETH,5,20837424.0607,4948122.7239335,2.056,MEDIUM,30,0.85,0.01096913,4.0037,,,,False,False,False,False,False,1.0,0.0475,1.0,0.9315,0.1,0.2,0.3628,NO_GO,23,0.3,0.0795,0.0,3.7596,True,True,True,True
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,aerodrome-slipstream,WETH / USDC 0.05%,WETH,USDC,5,8742318.4584,134650766.605207,1.236,LOW,0,0.85,0.00770109,2.8109,25.0,168,0.398791,False,False,True,False,True,1.0,1.0,0.9917,0.9588,1.0,0.0,0.8875,GO_TINY_LIVE,1,0.3,0.0795,0.3988,2.6158,True,False,True,True
0x42d4a22cad0f5a49681a5715ce994af73a43b76b,aerodrome-slipstream,cbBTC / WETH 0.05%,cbBTC,WETH,5,3405173.7793,43077399.3630572,1.871,MEDIUM,30,0.85,0.00755731,2.7584,,,,False,False,False,False,False,1.0,1.0,0.9332,0.9376,0.1,0.2,0.4996,NO_GO,17,0.3,0.0795,0.0,2.5655,True,False,True,True
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,pancakeswap-v3-base,WETH / USDC 0.01%,WETH,USDC,1,3931250.374,48559486.4057044,1.236,LOW,0,0.85,0.00754445,2.7537,25.0,168,0.048503,False,False,True,False,True,1.0,1.0,0.9421,0.9588,1.0,0.0,0.8826,GO_TINY_LIVE,2,0.3,0.0795,0.0485,2.561,True,False,True,True
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,hydrex-integral,WETH / cbBTC 0.05%,WETH,cbBTC,5,1335836.4749,5221408.25546703,1.219,MEDIUM,30,0.85,0.0070553,2.5752,10.0,168,0.191351,False,True,True,False,False,1.0,0.7817,0.8751,0.9594,1.0,0.2,0.6432,NEED_MORE_DATA,6,0.3,0.0795,0.1914,2.3898,True,False,True,True
0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,uniswap-v3-base,cbBTC / USDC 0.05%,cbBTC,USDC,5,7326622.6852,16095649.7296072,1.847,MEDIUM,30,0.85,0.00668215,2.439,10.0,168,0.09929,False,False,True,False,False,1.0,0.4394,0.9807,0.9384,1.0,0.2,0.6003,NEED_MORE_DATA,7,0.3,0.0795,0.0993,2.2592,True,False,True,True
0x4e962bb3889bf030368f56810a9c96b83cb3e778,aerodrome-slipstream,cbBTC / USDC 0.05%,cbBTC,USDC,5,9240186.7229,120355850.697581,1.845,MEDIUM,30,0.85,0.00651263,2.3771,50.0,168,0.042171,False,False,True,False,False,1.0,1.0,0.9951,0.9385,1.0,0.2,0.6859,NEED_MORE_DATA,4,0.3,0.0795,0.0422,2.1999,True,False,True,True
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,pancakeswap-v3-base,cbBTC / WETH 0.01%,cbBTC,WETH,1,3686536.4993,49041889.610828,1.84,MEDIUM,30,0.85,0.00632529,2.3087,,,,False,False,False,False,False,1.0,1.0,0.9381,0.9387,0.1,0.2,0.5002,NO_GO,16,0.3,0.0795,0.0,2.1343,True,False,True,True
0xc5e51044eb7318950b1afb044fccfb25782c48c1,aerodrome-slipstream,EURC / USDC 0.01%,EURC,USDC,1,230400.9289,3790868.60829576,-0.224,MEDIUM,30,0.85,0.00452209,1.6506,,,,False,False,False,False,False,1.0,1.0,0.7661,0.9925,0.1,0.2,0.4884,NO_GO,18,0.3,0.0795,0.0,1.5032,True,False,True,True
0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,hydrex-integral,WETH / USDC 0.05%,WETH,USDC,5,412262.1391,4759059.8479026,1.215,LOW,0,0.85,0.00432384,1.5782,,,,False,False,False,False,True,1.0,1.0,0.8022,0.9595,0.1,0.0,0.6887,NO_GO,11,0.3,0.0795,0.0,1.4338,True,False,True,True
0x6c561b446416e1a00e8e93e221854d6ea4171372,uniswap-v3-base,WETH / USDC 0.3%,WETH,USDC,30,96309082.0801,117238738.117396,1.258,LOW,0,0.85,0.00365195,1.333,,,,False,False,False,False,True,1.0,0.2435,1.0,0.9581,0.1,0.0,0.5948,NO_GO,13,0.3,0.0795,0.0,1.1986,True,False,True,True
