pool,pool_name,size_usd,range_pct,hold_hours,l_factor,l_pos_share_of_pool,in_range_fraction,replay_fee_usd,proxy_fee_usd_r2_model,capture_ratio_replay_vs_proxy,il_estimate_usd,gas_usd,net_pnl_usd,signal_noise_ratio,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,5,1,1721.74,0.001969,0.90,3.3735,0.0032,1051.3290,0.0333,0.0795,3.2607,200.4095,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,5,6,1721.74,0.001969,0.85,19.1165,0.0193,992.9218,0.2000,0.0795,18.8370,189.1645,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,5,24,1721.74,0.001969,0.80,71.9678,0.0770,934.5146,0.8000,0.0795,71.0883,177.9195,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,10,1,461.74,0.000528,0.99,0.9952,0.0032,310.1404,0.0083,0.0795,0.9073,236.8419,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,10,6,461.74,0.000528,0.95,5.7298,0.0193,297.6095,0.0500,0.0795,5.6003,227.1917,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,10,24,461.74,0.000528,0.90,21.7129,0.0770,281.9458,0.2000,0.0795,21.4334,215.1290,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,15,1,219.51,0.000251,0.99,0.4731,0.0032,147.4406,0.0037,0.0795,0.3899,253.4770,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,15,6,219.51,0.000251,0.99,2.8386,0.0193,147.4406,0.0222,0.0795,2.7369,253.4770,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,15,24,219.51,0.000251,0.94,10.7811,0.0770,139.9941,0.0889,0.0795,10.6127,240.5741,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,5,1,1721.74,0.004924,0.90,8.4337,0.0080,1051.3290,0.0833,0.0795,8.2709,200.4095,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,5,6,1721.74,0.004924,0.85,47.7911,0.0481,992.9218,0.5000,0.0795,47.2116,189.1645,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,5,24,1721.74,0.004924,0.80,179.9195,0.1925,934.5146,2.0000,0.0795,177.8400,177.9195,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,10,1,461.74,0.001320,0.99,2.4879,0.0080,310.1404,0.0208,0.0795,2.3876,236.8419,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,10,6,461.74,0.001320,0.95,14.3245,0.0481,297.6095,0.1250,0.0795,14.1200,227.1917,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,10,24,461.74,0.001320,0.90,54.2823,0.1925,281.9458,0.5000,0.0795,53.7028,215.1290,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,15,1,219.51,0.000628,0.99,1.1828,0.0080,147.4406,0.0093,0.0795,1.0940,253.4770,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,15,6,219.51,0.000628,0.99,7.0966,0.0481,147.4406,0.0556,0.0795,6.9615,253.4770,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,15,24,219.51,0.000628,0.94,26.9527,0.1925,139.9941,0.2222,0.0795,26.6510,240.5741,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,5,1,1721.74,0.009847,0.90,16.8675,0.0160,1051.3290,0.1667,0.0795,16.6213,200.4095,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,5,6,1721.74,0.009847,0.85,95.5823,0.0963,992.9218,1.0000,0.0795,94.5028,189.1645,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,5,24,1721.74,0.009847,0.80,359.8391,0.3851,934.5146,4.0000,0.0795,355.7596,177.9195,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,10,1,461.74,0.002641,0.99,4.9759,0.0160,310.1404,0.0417,0.0795,4.8547,236.8419,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,10,6,461.74,0.002641,0.95,28.6490,0.0963,297.6095,0.2500,0.0795,28.3195,227.1917,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,10,24,461.74,0.002641,0.90,108.5645,0.3851,281.9458,1.0000,0.0795,107.4850,215.1290,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,15,1,219.51,0.001255,0.99,2.3655,0.0160,147.4406,0.0185,0.0795,2.2675,253.4770,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,15,6,219.51,0.001255,0.99,14.1932,0.0963,147.4406,0.1111,0.0795,14.0026,253.4770,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,15,24,219.51,0.001255,0.94,53.9054,0.3851,139.9941,0.4444,0.0795,53.3814,240.5741,GO
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,PancakeSwap V3 WETH/USDC 0.01%,10,5,1,1721.74,0.004380,0.90,0.7386,0.0005,1435.1444,0.0333,0.0795,0.6258,42.3179,GO
