pool,block,tx,amount0_raw,amount0_human,amount1_raw,amount1_human,sqrtPriceX96,liquidity,tick,fee_zto,fee_otz,abi
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222801,0x629a623213901ec9d4a86ec0e4c65451650d46d303d748b0415f2343af9b6098,-340551718118678148,-0.340552,568727041,568.7270,3237636589800383610325516,2641450665466979248,115792089237316195423570985008687907853269984665640564039457584007913112660605,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222802,0xf461a0b7cd0848e6bd693ce576d099a359e2db7cd0e79af5cbd77946cc25f81f,-349692525238966604,-0.349693,583998577,583.9986,3237654105311646709481287,2641450615792892854,115792089237316195423570985008687907853269984665640564039457584007913112660605,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222805,0x6b31a1d2e176149a21d5d04e17f0177f5df6329d8e62a6ce4a37ccc50b34d38b,933670128581936768,0.933670,-1559060124,-1559.0601,3237607342570341523673620,2641450553431570920,115792089237316195423570985008687907853269984665640564039457584007913112660604,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222806,0x768a1d4b11605549920e3f033a4b63b30c876c5b8b14487bcf6e9754758f2352,1586462727578034688,1.586463,-2649002338,-2649.0023,3237527887902405048690836,2641450694283505744,115792089237316195423570985008687907853269984665640564039457584007913112660604,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222809,0xc74f66021b8ec231b877782414f3ab80534f4baa1479b1647b240d25d0465250,-387662228582441565,-0.387662,647366199,647.3662,3237547303872837376618026,2641462460971417753,115792089237316195423570985008687907853269984665640564039457584007913112660604,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222814,0x67285220f179c2a1bdc2f55e926c0213c83ce5a2ad150ec4449ab80ac1c14a5d,3101031502611379712,3.101032,-5177646127,-5177.6461,3237392005280713160077810,2641462380440463982,115792089237316195423570985008687907853269984665640564039457584007913112660603,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222817,0x2241ebef71956f9fdf5b848a78912dfb824b3e5ccfed00b9e599832b79d0de7a,-586887178914697669,-0.586887,979977345,979.9773,3237421397006707116080944,2641462628945118970,115792089237316195423570985008687907853269984665640564039457584007913112660603,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222820,0xdafc35c1c0bd3dd76a1e04867ddb488d1c040c4ca4b30fbc141f6722c37126df,-707829452732019544,-0.707829,1181949011,1181.9490,3237456846317208470693182,2641462651294806580,115792089237316195423570985008687907853269984665640564039457584007913112660603,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222821,0xfe32cbda7d7d1da0390bd95ba41f44081cd4cc12e31f84ecaa744119de1e12a8,-311722980630408038,-0.311723,520530021,520.5300,3237472458183942646811482,2641462635156553280,115792089237316195423570985008687907853269984665640564039457584007913112660604,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222827,0x3b4235ca1c57e097880db5fda6c883fac2a80a7f38fb972ad1eeb5b1302195f6,1208001256047614208,1.208001,-2016908561,-2016.9086,3237411962927062070609486,2641462613102458142,115792089237316195423570985008687907853269984665640564039457584007913112660603,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222828,0xff9ea8c7f60db6069d92bef9afd9bf206e10396e222d92dffc3ef8bfa7cfa375,226095433698154208,0.226095,-377486114,-377.4861,3237400640589706751065311,2641462647650342515,115792089237316195423570985008687907853269984665640564039457584007913112660603,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222829,0x4a79d38aad12e7aacf81cf3295da90fa68c41c16e90981eb190f41a70f01705f,-13203459407285626069,-13.203459,22051403520,22051.4035,3238062019206811044000050,2641433077781675048,115792089237316195423570985008687907853269984665640564039457584007913112660607,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222830,0x154b9e844cff27f5faf9af3a890da8b349f396746391572dec1bd30a75e0a9b8,-4253249924401199341,-4.253250,7105370054,7105.3701,3238275131744081008472355,2641382078151940374,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222831,0xe67cf09d16d877da7f7ca2969852710a8bdc401f3a9d292522cb8a821f636157,1286554844366820096,1.286555,-2149116466,-2149.1165,3238195975046071795579764,2151056739193522149,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,47222832,0x34e0de5eeb0ecb729f6a474cacc50f973b4b1db2d212abc3ec62c6677ffcc7a1,-1227238436305421938,-1.227238,2050275510,2050.2755,3238271486691370092076651,2151056492714144466,115792089237316195423570985008687907853269984665640564039457584007913112660608,,,v3_standard
