pool,pool_name,size_usd,range_pct,hold_hours,l_factor,base_share,events_in_window,in_range_pct,total_volume_usd,total_pool_fee_usd,replay_fee_corrected_usd,replay_fee_r4_old_usd,correction_factor,median_share_pct,max_share_pct,proxy_fee_usd,capture_ratio_corrected,capture_ratio_old,il_estimate_usd,gas_usd,net_pnl_corrected_usd,net_pnl_old_usd,signal_noise_corrected,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,5,1,1721.74,0.00196944,998,1.0000,2382080.08,1191.0400,2.341067,2.345677,0.998034,0.001966,0.001966,0.003209,729.5799,731.0167,0.0333,0.0795,2.2282,2.2328,138.4640,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,5,6,1721.74,0.00196944,6183,1.0000,15662207.19,7831.1036,15.392544,15.422859,0.998034,0.001966,0.001966,0.019253,799.4995,801.0741,0.2000,0.0795,15.1130,15.1434,151.9254,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,5,24,1721.74,0.00196944,28483,1.0000,91732605.15,45866.3026,90.153207,90.330758,0.998034,0.001966,0.001966,0.077011,1170.6551,1172.9606,0.8000,0.0795,89.2737,89.4513,223.3830,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,10,1,461.74,0.00052816,998,1.0000,2382080.08,1191.0400,0.628733,0.629065,0.999472,0.000528,0.000528,0.003209,195.9409,196.0444,0.0083,0.0795,0.5409,0.5412,148.8958,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,10,6,461.74,0.00052816,6183,1.0000,15662207.19,7831.1036,4.133925,4.136108,0.999472,0.000528,0.000528,0.019253,214.7190,214.8324,0.0500,0.0795,4.0044,4.0066,163.3570,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,10,24,461.74,0.00052816,28483,1.0000,91732605.15,45866.3026,24.212150,24.224938,0.999472,0.000528,0.000528,0.077011,314.3990,314.5650,0.2000,0.0795,23.9327,23.9454,240.1215,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,15,1,219.51,0.00025109,998,1.0000,2382080.08,1191.0400,0.298982,0.299057,0.999749,0.000251,0.000251,0.003209,93.1760,93.1994,0.0037,0.0795,0.2158,0.2159,159.4503,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,15,6,219.51,0.00025109,6183,1.0000,15662207.19,7831.1036,1.965810,1.966304,0.999749,0.000251,0.000251,0.019253,102.1056,102.1312,0.0222,0.0795,1.8641,1.8646,174.9229,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,15,24,219.51,0.00025109,28483,1.0000,91732605.15,45866.3026,11.513634,11.516525,0.999749,0.000251,0.000251,0.077011,149.5065,149.5441,0.0889,0.0795,11.3452,11.3481,257.0568,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,5,1,1721.74,0.00492359,998,1.0000,2382080.08,1191.0400,5.835462,5.864193,0.995101,0.004899,0.004899,0.008022,727.4351,731.0167,0.0833,0.0795,5.6726,5.7014,138.0511,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,5,6,1721.74,0.00492359,6183,1.0000,15662207.19,7831.1036,38.368238,38.557148,0.995101,0.004899,0.004899,0.048132,797.1492,801.0741,0.5000,0.0795,37.7887,37.9776,151.4730,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,5,24,1721.74,0.00492359,28483,1.0000,91732605.15,45866.3026,224.720463,225.826894,0.995101,0.004899,0.004899,0.192527,1167.2138,1172.9606,2.0000,0.0795,222.6410,223.7474,222.7205,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,10,1,461.74,0.00132041,998,1.0000,2382080.08,1191.0400,1.570588,1.572662,0.998681,0.001319,0.001319,0.008022,195.7858,196.0444,0.0208,0.0795,1.4703,1.4723,148.7764,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,10,6,461.74,0.00132041,6183,1.0000,15662207.19,7831.1036,10.326636,10.340271,0.998681,0.001319,0.001319,0.048132,214.5491,214.8324,0.1250,0.0795,10.1221,10.1358,163.2262,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,10,24,461.74,0.00132041,28483,1.0000,91732605.15,45866.3026,60.482484,60.562345,0.998681,0.001319,0.001319,0.192527,314.1502,314.5650,0.5000,0.0795,59.9030,59.9828,239.9299,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,15,1,219.51,0.00062772,998,1.0000,2382080.08,1191.0400,0.747174,0.747643,0.999373,0.000627,0.000627,0.008022,93.1409,93.1994,0.0093,0.0795,0.6584,0.6589,159.3895,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,15,6,219.51,0.00062772,6183,1.0000,15662207.19,7831.1036,4.912676,4.915760,0.999373,0.000627,0.000627,0.048132,102.0671,102.1312,0.0556,0.0795,4.7776,4.7807,174.8563,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,15,24,219.51,0.00062772,28483,1.0000,91732605.15,45866.3026,28.773250,28.791311,0.999373,0.000627,0.000627,0.192527,149.4503,149.5441,0.2222,0.0795,28.4715,28.4896,256.9592,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,5,1,1721.74,0.00984718,998,1.0000,2382080.08,1191.0400,11.614022,11.728387,0.990249,0.009751,0.009751,0.016044,723.8885,731.0167,0.1667,0.0795,11.3679,11.4822,137.3683,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,5,6,1721.74,0.00984718,6183,1.0000,15662207.19,7831.1036,76.362342,77.114295,0.990249,0.009751,0.009751,0.096264,793.2627,801.0741,1.0000,0.0795,75.2828,76.0348,150.7247,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,5,24,1721.74,0.00984718,28483,1.0000,91732605.15,45866.3026,447.249640,451.653788,0.990249,0.009751,0.009751,0.385055,1161.5229,1172.9606,4.0000,0.0795,443.1701,447.5743,221.6248,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,10,1,461.74,0.00264082,998,1.0000,2382080.08,1191.0400,3.137039,3.145323,0.997366,0.002634,0.002634,0.016044,195.5280,196.0444,0.0417,0.0795,3.0159,3.0242,148.5779,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,10,6,461.74,0.00264082,6183,1.0000,15662207.19,7831.1036,20.626072,20.680542,0.997366,0.002634,0.002634,0.096264,214.2665,214.8324,0.2500,0.0795,20.2966,20.3510,163.0086,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,10,24,461.74,0.00264082,28483,1.0000,91732605.15,45866.3026,120.805664,121.124691,0.997366,0.002634,0.002634,0.385055,313.7365,314.5650,1.0000,0.0795,119.7262,120.0452,239.6113,GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,15,1,219.51,0.00125545,998,1.0000,2382080.08,1191.0400,1.493410,1.495285,0.998746,0.001254,0.001254,0.016044,93.0825,93.1994,0.0185,0.0795,1.3954,1.3973,159.2883,GO
