pool,pool_name,size_usd,range_pct,hold_hours,median_tick,tick_lower,tick_upper,L_position,median_L_event,L_position_over_median_L_event,events_total,events_in_range,in_range_pct,total_volume_usd,total_pool_fee_usd,fee_usd_r4c,fee_usd_r4b,fee_usd_r4_old,fee_ratio_r4c_vs_r4b,fee_ratio_r4c_vs_r4_old,median_share_r4c_pct,max_share_r4c_pct,median_share_r4b_pct,proxy_fee_usd,capture_ratio_r4c,capture_ratio_r4b,capture_ratio_r4_old,il_estimate_usd,gas_usd,net_pnl_r4c_usd,net_pnl_r4b_usd,net_pnl_r4_old_usd,signal_noise_r4c,signal_noise_r4b,apr_pct,daily_fee_gt_position_size_flag,apr_gt_1000pct_flag,any_share_gt_5pct_flag,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,5,1,-202111,-202599,-201623,5075214759770,1661382663512602173,0.000003,998,998,1.000000,2382080.079666,1191.040040,0.002839,2.341067,2.345677,0.001213,0.001210,0.000003,0.000003,0.001966,0.003209,0.884750,729.579863,731.016724,0.033333,0.079500,-0.109994,2.228233,2.232844,-1.829662,138.464009,248.694103,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,5,6,-202107,-202595,-201619,5074199869054,1660945595056760833,0.000003,6183,6183,1.000000,15662207.190826,7831.103595,0.018979,15.392544,15.422859,0.001233,0.001231,0.000003,0.000003,0.001966,0.019253,0.985779,799.499499,801.074062,0.200000,0.079500,-0.260521,15.113044,15.143359,-1.810211,151.925445,277.092298,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,5,24,-202176,-202664,-201688,5091735212926,1721745301168755497,0.000003,28483,28483,1.000000,91732605.146300,45866.302573,0.119878,90.153207,90.330758,0.001330,0.001327,0.000003,0.000003,0.001966,0.077011,1.556637,1170.655115,1172.960645,0.800000,0.079500,-0.759622,89.273707,89.451258,-1.700305,223.383017,437.554672,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,10,1,-202111,-203065,-201157,2626363014132,1661382663512602173,0.000002,998,998,1.000000,2382080.079666,1191.040040,0.001469,0.628733,0.629065,0.002337,0.002335,0.000002,0.000002,0.000528,0.003209,0.457848,195.940864,196.044352,0.008333,0.079500,-0.086364,0.540899,0.541231,-1.647407,148.895827,128.696384,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,10,6,-202107,-203061,-201153,2625837820309,1660945595056760833,0.000002,6183,6183,1.000000,15662207.190826,7831.103595,0.009821,4.133925,4.136108,0.002376,0.002375,0.000002,0.000002,0.000528,0.019253,0.510129,214.718950,214.832357,0.050000,0.079500,-0.119679,4.004425,4.006608,-1.607145,163.357001,143.392133,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,10,24,-202176,-203130,-201222,2634912151301,1721745301168755497,0.000002,28483,28483,1.000000,91732605.146300,45866.302573,0.062036,24.212150,24.224938,0.002562,0.002561,0.000002,0.000002,0.000528,0.077011,0.805542,314.398993,314.565047,0.200000,0.079500,-0.217464,23.932650,23.945438,-1.379645,240.121501,226.429618,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,15,1,-202111,-203509,-200713,1812045714074,1661382663512602173,0.000001,998,998,1.000000,2382080.079666,1191.040040,0.001014,0.298982,0.299057,0.003390,0.003389,0.000001,0.000001,0.000251,0.003209,0.315890,93.176000,93.199396,0.003704,0.079500,-0.082190,0.215778,0.215853,-1.452643,159.450277,88.793447,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,15,6,-202107,-203505,-200709,1811683359285,1660945595056760833,0.000001,6183,6183,1.000000,15662207.190826,7831.103595,0.006776,1.965810,1.966304,0.003447,0.003446,0.000001,0.000001,0.000251,0.019253,0.351961,102.105567,102.131205,0.022222,0.079500,-0.094946,1.864088,1.864582,-1.390141,174.922942,98.932709,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,10,15,24,-202176,-203574,-200778,1817944147491,1721745301168755497,0.000001,28483,28483,1.000000,91732605.146300,45866.302573,0.042801,11.513634,11.516525,0.003717,0.003716,0.000001,0.000001,0.000251,0.077011,0.555780,149.506541,149.544080,0.088889,0.079500,-0.125588,11.345245,11.348136,-1.036975,257.056756,156.224024,false,false,false,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,25,5,1,-202111,-202599,-201623,12688036899426,1661382663512602173,0.000008,998,998,1.000000,2382080.079666,1191.040040,0.007097,5.835462,5.864193,0.001216,0.001210,0.000008,0.000008,0.004899,0.008022,0.884746,727.435131,731.016724,0.083333,0.079500,-0.155736,5.672629,5.701360,-1.829662,138.051090,248.693163,false,false,false,NO_GO
