pool,pool_name,size_usd,range_pct,hold_hours,hedge_ratio,funding_apr_pct,perp_fee_pct,fee_per_dollar_per_day,lp_fee_usd,il_estimate_usd,hedge_notional_usd,hedge_funding_cost_usd,hedge_trading_fee_usd,residual_delta_risk_usd,gas_cycle_usd,rebalance_cost_usd,net_pnl_unhedged_usd,net_pnl_hedged_usd,signal_noise_unhedged,signal_noise_hedged,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,-20,0.020000,0.011988,0.024974,0.003167,25.000000,0.000571,0.005000,0.204124,0.079500,0.079500,-0.057692,-0.346887,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,-20,0.050000,0.011988,0.024974,0.003167,25.000000,0.000571,0.012500,0.204124,0.079500,0.079500,-0.057692,-0.354387,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,-20,0.100000,0.011988,0.024974,0.003167,25.000000,0.000571,0.025000,0.204124,0.079500,0.079500,-0.057692,-0.366887,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,-5,0.020000,0.011988,0.024974,0.003167,25.000000,0.000143,0.005000,0.204124,0.079500,0.079500,-0.057692,-0.346459,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,-5,0.050000,0.011988,0.024974,0.003167,25.000000,0.000143,0.012500,0.204124,0.079500,0.079500,-0.057692,-0.353959,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,-5,0.100000,0.011988,0.024974,0.003167,25.000000,0.000143,0.025000,0.204124,0.079500,0.079500,-0.057692,-0.366459,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,0,0.020000,0.011988,0.024974,0.003167,25.000000,-0.000000,0.005000,0.204124,0.079500,0.079500,-0.057692,-0.346316,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,0,0.050000,0.011988,0.024974,0.003167,25.000000,-0.000000,0.012500,0.204124,0.079500,0.079500,-0.057692,-0.353816,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,0,0.100000,0.011988,0.024974,0.003167,25.000000,-0.000000,0.025000,0.204124,0.079500,0.079500,-0.057692,-0.366316,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,5,0.020000,0.011988,0.024974,0.003167,25.000000,-0.000143,0.005000,0.204124,0.079500,0.079500,-0.057692,-0.346174,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,5,0.050000,0.011988,0.024974,0.003167,25.000000,-0.000143,0.012500,0.204124,0.079500,0.079500,-0.057692,-0.353674,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,5,0.100000,0.011988,0.024974,0.003167,25.000000,-0.000143,0.025000,0.204124,0.079500,0.079500,-0.057692,-0.366174,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,20,0.020000,0.011988,0.024974,0.003167,25.000000,-0.000571,0.005000,0.204124,0.079500,0.079500,-0.057692,-0.345746,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,20,0.050000,0.011988,0.024974,0.003167,25.000000,-0.000571,0.012500,0.204124,0.079500,0.079500,-0.057692,-0.353246,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.500000,20,0.100000,0.011988,0.024974,0.003167,25.000000,-0.000571,0.025000,0.204124,0.079500,0.079500,-0.057692,-0.365746,13.773342,0.210408,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.750000,-20,0.020000,0.011988,0.024974,0.003167,37.500000,0.000856,0.007500,0.102062,0.079500,0.079500,-0.057692,-0.247610,13.773342,0.414484,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.750000,-20,0.050000,0.011988,0.024974,0.003167,37.500000,0.000856,0.018750,0.102062,0.079500,0.079500,-0.057692,-0.258860,13.773342,0.414484,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.750000,-20,0.100000,0.011988,0.024974,0.003167,37.500000,0.000856,0.037500,0.102062,0.079500,0.079500,-0.057692,-0.277610,13.773342,0.414484,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.750000,-5,0.020000,0.011988,0.024974,0.003167,37.500000,0.000214,0.007500,0.102062,0.079500,0.079500,-0.057692,-0.246968,13.773342,0.414484,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.750000,-5,0.050000,0.011988,0.024974,0.003167,37.500000,0.000214,0.018750,0.102062,0.079500,0.079500,-0.057692,-0.258218,13.773342,0.414484,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.750000,-5,0.100000,0.011988,0.024974,0.003167,37.500000,0.000214,0.037500,0.102062,0.079500,0.079500,-0.057692,-0.276968,13.773342,0.414484,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.750000,0,0.020000,0.011988,0.024974,0.003167,37.500000,-0.000000,0.007500,0.102062,0.079500,0.079500,-0.057692,-0.246754,13.773342,0.414484,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.750000,0,0.050000,0.011988,0.024974,0.003167,37.500000,-0.000000,0.018750,0.102062,0.079500,0.079500,-0.057692,-0.258004,13.773342,0.414484,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,50,1,1,0.750000,0,0.100000,0.011988,0.024974,0.003167,37.500000,-0.000000,0.037500,0.102062,0.079500,0.079500,-0.057692,-0.276754,13.773342,0.414484,NO_GO
