pool,pool_name,size_usd,range_pct,hold_hours,hedge_ratio,funding_scenario,funding_apr_pct,reward_scenario_pct,reward_income_usd,claim_gas_usd,lp_fee_usd,il_usd,rebalance_count_24h,perp_trading_fee_usd,rebal_gas_usd,residual_delta_risk_usd,funding_income_usd,net_pnl_fee_only_usd,net_pnl_delta_hedged_usd,net_pnl_reward_adjusted_usd,signal_noise_reward_adjusted,recommendation
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,median,0.825600,0,0.000000,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.002827,4.220351,-0.985821,-1.085821,1.653792,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,median,0.825600,15,0.102740,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.002827,4.220351,-0.985821,-0.983082,1.693307,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,median,0.825600,31.760000,0.217534,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.002827,4.220351,-0.985821,-0.868287,1.737459,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,median,0.825600,63.520000,0.435068,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.002827,4.220351,-0.985821,-0.650753,1.821126,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,median,0.825600,100,0.684932,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,0.002827,4.220351,-0.985821,-0.400890,1.917228,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,p5,-9.017300,0,0.000000,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,-0.030881,4.220351,-1.019530,-1.119530,1.653792,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,p5,-9.017300,15,0.102740,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,-0.030881,4.220351,-1.019530,-1.016790,1.693307,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,p5,-9.017300,31.760000,0.217534,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,-0.030881,4.220351,-1.019530,-0.901996,1.737459,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,p5,-9.017300,63.520000,0.435068,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,-0.030881,4.220351,-1.019530,-0.684461,1.821126,NO_GO
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,Aerodrome Slipstream WETH/USDC 0.05%,250,2,24,0.500000,p5,-9.017300,100,0.684932,0.100000,4.499842,0.199991,1.000000,0.050000,0.159000,5.000000,-0.030881,4.220351,-1.019530,-0.434598,1.917228,NO_GO
