pool_id,token_pair,fix_attempted_fields,fixed_fields,still_missing_fields,data_quality_before,data_quality_after,exit_depth_status,holder_status,trader_status,stability_status,can_support_counterfactual,blocking_reason
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC / USDC 0.05%,unique_traders_24h/top1_top5_trader_share,trader_concentration;stability_partial,stability_15m_30m_or_tvl_delta,partial,near_ready_but_incomplete,OK,major_pair_exempt:0.0,ok,partial,no,still_below_research_candidate_threshold
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH / USDC 0.01%,unique_traders_24h/top1_top5_trader_share,stability_partial,trader_concentration;stability_15m_30m_or_tvl_delta,partial,improved_partial,OK,major_pair_exempt:0.0,missing:no_swap_logs,partial,no,trader_missing
0x26e263efdc91f0d3279e2ec2bd58a7ca5c2fce62,cbBTC/USDC,unique_traders_24h/top1_top5_trader_share,stability_partial,trader_concentration;stability_15m_30m_or_tvl_delta,partial,improved_partial,OK,major_pair_exempt:0.0,missing:no_swap_logs,partial,no,trader_missing
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,PROS / USDC 0.01%,unique_traders_24h/top1_top5_trader_share;top10_holder_pct,trader_concentration;stability_partial,holder_effective;stability_15m_30m_or_tvl_delta,partial,improved_partial,OK,non_major_holder_missing:missing,ok,partial,no,holder_missing
0x0ab02e160f0df68dc049b012c514857306960eae,CTR / USDC 0.015%,unique_traders_24h/top1_top5_trader_share;top10_holder_pct,trader_concentration;stability_partial,holder_effective;stability_15m_30m_or_tvl_delta,partial,improved_partial,OK,non_major_holder_missing:missing,ok,partial,no,holder_missing
0x24bddff0577d1ee32f92a0b92296ca9702611c6a,PROS / USDC,unique_traders_24h/top1_top5_trader_share;top10_holder_pct,trader_concentration;stability_partial,holder_effective;stability_15m_30m_or_tvl_delta,partial,improved_partial,OK,non_major_holder_missing:missing,ok,partial,no,holder_missing
0x1131db5977242a03ebead1acd18f80a9a29e5922,SOL/USDC,unique_traders_24h/top1_top5_trader_share;price_move_5m/15m/30m;volume_change_1h,trader_concentration;stability_partial,stability_15m_30m_or_tvl_delta,partial,near_ready_but_incomplete,OK,scalar_fallback:24.9,ok,partial,no,still_below_research_candidate_threshold
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,PLAY / USDC 0.01%,unique_traders_24h/top1_top5_trader_share;price_move_5m/15m/30m;volume_change_1h,stability_partial,trader_concentration;stability_15m_30m_or_tvl_delta,partial,improved_partial,OK,scalar_fallback:24.9,missing:no_swap_logs,partial,no,trader_missing
0xfc971cb1c9327d6a6f84b4a6fceaff20d7a7719fa1564f1bed47198716dbec7d,OpenJarvis / WETH 0.01%,unique_traders_24h/top1_top5_trader_share;top10_holder_pct,,trader_concentration;holder_effective,partial,partial,OK,non_major_holder_missing:missing,missing:unsupported_pool_id,missing,no,trader_missing;stability_missing;holder_missing
0x85f1aa3a70fedd1c52705c15baed143e675cd626,NOCK / USDC,unique_traders_24h/top1_top5_trader_share;price_move_5m/15m/30m;volume_change_1h,stability_partial,trader_concentration;stability_15m_30m_or_tvl_delta,partial,improved_partial,OK,scalar_fallback:24.9,missing:no_swap_logs,partial,no,trader_missing
0xf13203ddbf2c9816a79b656a1a952521702715d92fea465b84ae2ed6e94a7f22,USDT / USDC,unique_traders_24h/top1_top5_trader_share;price_move_5m/15m/30m;volume_change_1h,,trader_concentration;stability,partial,partial,OK,scalar_fallback:24.9,missing:unsupported_pool_id,missing,no,trader_missing;stability_missing
0x29183f918920a2aef0115a9c7374945589968aea,SOSO / USDC 0.01%,unique_traders_24h/top1_top5_trader_share;price_move_5m/15m/30m;volume_change_1h,trader_concentration;stability_partial,stability_15m_30m_or_tvl_delta,partial,near_ready_but_incomplete,OK,scalar_fallback:24.9,ok,partial,no,still_below_research_candidate_threshold
0xf6e81e5d16a7274d273905e0068f9f607b840c20bec23b2e442976ee03b29d91,ETH / USDC 0.005%,unique_traders_24h/top1_top5_trader_share;price_move_5m/15m/30m;volume_change_1h,,trader_concentration;stability,partial,partial,OK,scalar_fallback:24.9,missing:unsupported_pool_id,missing,no,trader_missing;stability_missing
0xaf15cd1f9c3874bbcfddfc2b544544612c9de8c8bae28ba21c129c6b286c1e19,ETH / USDC 0.009%,unique_traders_24h/top1_top5_trader_share;price_move_5m/15m/30m;volume_change_1h,,trader_concentration;stability,partial,partial,OK,scalar_fallback:24.9,missing:unsupported_pool_id,missing,no,trader_missing;stability_missing
0x5d0bc342178c8fe2c2f9a9fcc9d52555c99936db,USDC/USDbC,unique_traders_24h/top1_top5_trader_share;price_move_5m/15m/30m;volume_change_1h,,trader_concentration;stability,partial,partial,OK,scalar_fallback:24.9,missing:no_swap_logs,missing,no,trader_missing;stability_missing
0xedc625b74537ee3a10874f53d170e9c17a906b9c,ZORA / USDC 0.3%,unique_traders_24h/top1_top5_trader_share;price_move_5m/15m/30m;volume_change_1h,trader_concentration;stability_partial,stability_15m_30m_or_tvl_delta,partial,near_ready_but_incomplete,OK,scalar_fallback:24.9,ok,partial,no,still_below_research_candidate_threshold
