pool_id,token_pair,reclassification,reason,exit_depth_status,top10_holder_pct_effective,holder_method,top1_trader_share,top5_trader_share,stability_status,data_quality_status
0x26e263efdc91f0d3279e2ec2bd58a7ca5c2fce62,cbBTC/USDC,WATCH_RISK_HIGH,short_window_instability,OK,0.0,major_pair_exempt,,,risk_high,improved_partial
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC / USDC 0.05%,WATCH_DATA_MISSING,stability_not_fully_materialized,OK,0.0,major_pair_exempt,16.07,59.45,ok,improved_partial
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH / USDC 0.01%,WATCH_DATA_MISSING,repeated_no_swap_logs,OK,0.0,major_pair_exempt,,,ok,improved_partial
0x0ab02e160f0df68dc049b012c514857306960eae,CTR / USDC 0.015%,WATCH_DATA_MISSING,holder_concentration,OK,,non_major_holder_missing,39.53,76.9,partial,improved_partial
0x1131db5977242a03ebead1acd18f80a9a29e5922,SOL/USDC,WATCH_DATA_MISSING,stability_not_fully_materialized,OK,24.9,scalar_fallback,28.77,76.95,partial,improved_partial
0x24bddff0577d1ee32f92a0b92296ca9702611c6a,PROS / USDC,WATCH_DATA_MISSING,holder_concentration,OK,,non_major_holder_missing,16.98,69.78,partial,improved_partial
0x29183f918920a2aef0115a9c7374945589968aea,SOSO / USDC 0.01%,WATCH_DATA_MISSING,stability_not_fully_materialized,OK,24.9,scalar_fallback,40.49,66.4,partial,improved_partial
0x5d0bc342178c8fe2c2f9a9fcc9d52555c99936db,USDC/USDbC,WATCH_DATA_MISSING,repeated_no_swap_logs,OK,24.9,scalar_fallback,,,missing,improved_partial
0x85f1aa3a70fedd1c52705c15baed143e675cd626,NOCK / USDC,WATCH_RISK_HIGH,short_window_instability,OK,24.9,scalar_fallback,,,risk_high,improved_partial
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,PROS / USDC 0.01%,WATCH_DATA_MISSING,holder_concentration,OK,,non_major_holder_missing,34.38,78.93,partial,improved_partial
0xaf15cd1f9c3874bbcfddfc2b544544612c9de8c8bae28ba21c129c6b286c1e19,ETH / USDC 0.009%,WATCH_DATA_MISSING,trader_concentration;stability,OK,24.9,scalar_fallback,,,missing,improved_partial
0xedc625b74537ee3a10874f53d170e9c17a906b9c,ZORA / USDC 0.3%,WATCH_DATA_MISSING,stability_not_fully_materialized,OK,24.9,scalar_fallback,62.34,80.07,partial,improved_partial
0xf13203ddbf2c9816a79b656a1a952521702715d92fea465b84ae2ed6e94a7f22,USDT / USDC,WATCH_DATA_MISSING,trader_concentration;stability,OK,24.9,scalar_fallback,,,missing,improved_partial
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,PLAY / USDC 0.01%,WATCH_DATA_MISSING,repeated_no_swap_logs,OK,24.9,scalar_fallback,,,partial,improved_partial
0xf6e81e5d16a7274d273905e0068f9f607b840c20bec23b2e442976ee03b29d91,ETH / USDC 0.005%,WATCH_DATA_MISSING,trader_concentration;stability,OK,24.9,scalar_fallback,,,missing,improved_partial
0xfc971cb1c9327d6a6f84b4a6fceaff20d7a7719fa1564f1bed47198716dbec7d,OpenJarvis / WETH 0.01%,WATCH_DATA_MISSING,holder_concentration;trader_concentration;stability,OK,,non_major_holder_missing,,,missing,improved_partial
