pool_id,token_pair,exit_depth_usd,slippage_10usd,slippage_20usd,slippage_50usd,buyers_24h,sellers_24h,unique_traders_24h,top1_trader_share,top5_trader_share,top10_holder_pct,price_move_5m,price_move_15m,price_move_30m,tvl_change_1h,volume_change_1h,data_quality_status
0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,5272.38,0.000948,0.001897,0.004742,1915,1794,,,,46.4,-0.068,0.002,1.642,1e-06,-0.177182,partial
0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,0xAB6363DA0C80CEF3AE105BD6241E30872355D021/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,587.24,0.008514,0.017029,0.042572,0,0,119,44.92,69.7,95.13,-1.343,-1.123,-1.826,-2e-06,1.070289,acceptable
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,19299.49,0.000259,0.000518,0.001295,0,0,245,31.57,58.02,60.46,,,,,2.434747,partial
0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,0x4200000000000000000000000000000000000006/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,8354.96,0.000598,0.001197,0.002992,1587,1382,,,,54.38,-0.009,-0.083,-0.126,,-0.253325,partial
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,20761.36,0.000241,0.000482,0.001204,123,173,115,41.93,75.77,91.39,-0.012,0.588,0.525,-1e-06,,partial
0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,0x832B55B0FA6397CA9E63B8C15DADEF3F6E44614C/0x0000000000000000000000000000000000000000,713.62,0.007007,0.014013,0.035033,15,16,,,,82.96,-0.084,-0.038,-0.273,-1e-06,-0.141779,partial
0x8a8e4170c09074b109352190d47e54d7c1f61e4e,PROS / USDC 0.01%,18465.49,0.000271,0.000542,0.001354,1014,939,,,,24.9,-0.099,0.46,0.21,,,partial
0x72ab388e2e2f6facef59e3c3fa2c4e29011c2d38,WETH / USDC 0.01%,100660.19,5e-05,9.9e-05,0.000248,3259,4259,,,,54.38,-0.009,-0.083,-0.126,,,partial
0x24bddff0577d1ee32f92a0b92296ca9702611c6a,PROS / USDC,595.03,0.008403,0.016806,0.042015,874,931,,,,24.9,-0.049,0.578,0.298,,,partial
0x4e962bb3889bf030368f56810a9c96b83cb3e778,cbBTC / USDC 0.05%,228531.46,2.2e-05,4.4e-05,0.000109,1296,1605,,,,89.86,-0.029,-0.038,-0.043,,,partial
0x0ab02e160f0df68dc049b012c514857306960eae,CTR / USDC 0.015%,13419.54,0.000373,0.000745,0.001863,886,918,,,,24.9,0.261,1.454,2.178,,,partial
0x3f0296bf652e19bca772ec3df08b32732f93014a,VIRTUAL / WETH 0.05%,12505.29,0.0004,0.0008,0.001999,3463,2932,,,,54.38,0.003,-0.334,-0.255,,,partial
0xf6e81e5d16a7274d273905e0068f9f607b840c20bec23b2e442976ee03b29d91,ETH / USDC 0.005%,589.67,0.008479,0.016959,0.042397,3919,4063,,,,24.9,-0.007,-0.081,-0.124,,,partial
0xb4cb800910b228ed3d0834cf79d697127bbb00e5,WETH / USDC 0.01%,8420.91,0.000594,0.001188,0.002969,3243,4099,,,,54.38,0.02,-0.074,-0.117,,,partial
0xb94b22332abf5f89877a14cc88f2abc48c34b3df,cbBTC / USDC 0.01%,49264.48,0.000101,0.000203,0.000507,1249,1395,,,,89.86,0.054,0.046,0.04,,,partial
0xf1cacd7e005b9337c58aae77bc88d93c635cdf4d,PLAY / USDC 0.01%,13732.55,0.000364,0.000728,0.00182,842,821,,,,24.9,0.1,0.65,1.115,,,partial
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,WETH / USDC 0.05%,325746.08,1.5e-05,3.1e-05,7.7e-05,1114,1270,,,,54.38,-0.002,-0.085,-0.124,,,partial
0x1674ad20f7740e1bc0d21efa6425136971478cb4,ALLO / USDT 0.05%,4232.3,0.001181,0.002363,0.005907,65,82,,,,,1.724,2.676,8.806,,,partial
0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,cbBTC / WETH 0.05%,326654.29,1.5e-05,3.1e-05,7.7e-05,1949,1816,,,,89.86,0.178,0.166,0.178,,,partial
0x4e392fbfe4d0557c82d2f97f02ec39daa31516dd,WETH / USDC 0.008%,4593.4,0.001089,0.002177,0.005443,2082,2469,,,,54.38,-0.009,-0.083,-0.126,,,partial
0xd0b53d9277642d899df5c87a3966a349a798f224,USDC / WETH 0.05%,269931.67,1.9e-05,3.7e-05,9.3e-05,1782,1721,,,,54.38,0.001,0.06,0.045,,,partial
0xdbc6998296caa1652a810dc8d3baf4a8294330f1,WETH / USDC 0.01%,3226.74,0.00155,0.003099,0.007748,2583,2544,,,,54.38,-0.009,-0.076,-0.126,,,partial
0xd2192fca14cf782e6c32e4872c1c5c1aeecec8d1aa98529b8e8628f40f45092c,CASS / WETH 0.01%,2763.5,0.001809,0.003619,0.009046,2766,2453,,,,54.38,0.759,-19.211,-19.948,,,partial
0x263dd54f58cedff35c85a98a61fda06f3bba55a567de33fe9f884d851652e37a,ETH / VIRTUAL 0.045%,1254.05,0.003987,0.007974,0.019935,1486,1502,,,,46.4,-0.109,-0.04,-0.189,-5e-06,-0.094656,partial
0xc211e1f853a898bd1302385ccde55f33a8c4b3f3,cbBTC / WETH 0.01%,97320.44,5.1e-05,0.000103,0.000257,1123,1063,,,,89.86,0.0,-0.043,-0.015,,,partial
0x0d01e3e996ffb83cf990b67b2df83d4e5eaeacdf1cb6fa67b6cccf1a2c94cc02,SAOS / WETH 0.01%,2369.08,0.002111,0.004221,0.010553,2791,2058,,,,54.38,8.807,11.43,2.635,,,partial
0x160d7e9d948b16c163332a277b393c288408eb12,cbBTC / USDC 0.05%,60795.16,8.2e-05,0.000164,0.000411,407,584,,,,89.86,0.258,0.25,0.244,,,partial
0x29183f918920a2aef0115a9c7374945589968aea,SOSO / USDC 0.01%,6039.78,0.000828,0.001656,0.004139,159,104,,,,24.9,0.013,0.499,0.379,,,partial
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,VCNT / USDC 0.3%,5124.42,0.000976,0.001951,0.004879,106,131,32,98.93,99.56,76.24,-0.006,1.121,0.48,,,partial
