pool_id,token_pair,protocol_detected,window,log_count,unique_traders,buyer_count,seller_count,buy_count,sell_count,top1_trader_volume_share,top5_trader_volume_share,concentration_status,data_quality_status,failure_reason
0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,0xAB6363DA0C80CEF3AE105BD6241E30872355D021/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,1h,,,,,,,,,not_processed,not_processed,reject_excluded
0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,0xAB6363DA0C80CEF3AE105BD6241E30872355D021/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,6h,,,,,,,,,not_processed,not_processed,reject_excluded
0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,0xAB6363DA0C80CEF3AE105BD6241E30872355D021/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,24h,,,,,,,,,not_processed,not_processed,reject_excluded
0xc200f21efe67c7f41b81a854c26f9cda80593065,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,uniswap_v3_like,1h,423,,,,240,183,,,missing,missing,tx_sender_unavailable
0xc200f21efe67c7f41b81a854c26f9cda80593065,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,uniswap_v3_like,6h,1578,,,,824,754,,,missing,missing,tx_sender_unavailable
0xc200f21efe67c7f41b81a854c26f9cda80593065,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,uniswap_v3_like,24h,6105,,,,3063,3042,,,missing,missing,tx_sender_unavailable
0x659be70647b0f63217d60e077f4417b1ecc65064,0x16EE7ECAC70D1028E7712751E2EE6BA808A7DD92/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,1h,,,,,,,,,not_processed,not_processed,reject_excluded
0x659be70647b0f63217d60e077f4417b1ecc65064,0x16EE7ECAC70D1028E7712751E2EE6BA808A7DD92/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,6h,,,,,,,,,not_processed,not_processed,reject_excluded
0x659be70647b0f63217d60e077f4417b1ecc65064,0x16EE7ECAC70D1028E7712751E2EE6BA808A7DD92/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,24h,,,,,,,,,not_processed,not_processed,reject_excluded
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,0xDCF5130274753C8050AB061B1A1DCBF583F5BFD0/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,uniswap_v3_like,1h,938,1,,1,433,505,100.00,100.00,high,ok,
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,0xDCF5130274753C8050AB061B1A1DCBF583F5BFD0/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,uniswap_v3_like,6h,4651,5,2,3,2341,2310,20.00,100.00,high,ok,
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,0xDCF5130274753C8050AB061B1A1DCBF583F5BFD0/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,uniswap_v3_like,24h,8610,9,4,5,4332,4277,11.11,55.56,ok,ok,
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,,1h,,,,,,,,,not_processed,not_processed,reject_excluded
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,,6h,,,,,,,,,not_processed,not_processed,reject_excluded
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,,24h,,,,,,,,,not_processed,not_processed,reject_excluded
0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,0x4200000000000000000000000000000000000006/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,1h,,,,,,,,,not_processed,not_processed,reject_excluded
0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,0x4200000000000000000000000000000000000006/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,6h,,,,,,,,,not_processed,not_processed,reject_excluded
0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,0x4200000000000000000000000000000000000006/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,24h,,,,,,,,,not_processed,not_processed,reject_excluded
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,1h,0,,,,,,,,missing,missing,no_swap_logs
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,6h,0,,,,,,,,missing,missing,no_swap_logs
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,24h,0,,,,,,,,missing,missing,no_swap_logs
0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,1h,,,,,,,,,not_processed,not_processed,reject_excluded
0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,6h,,,,,,,,,not_processed,not_processed,reject_excluded
0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,,24h,,,,,,,,,not_processed,not_processed,reject_excluded
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,,1h,,,,,,,,,not_processed,not_processed,reject_excluded
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,,6h,,,,,,,,,not_processed,not_processed,reject_excluded
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,,24h,,,,,,,,,not_processed,not_processed,reject_excluded
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,0x940181A94A35A4569E4529A3CDFB74E38FD98631/0x4200000000000000000000000000000000000006,,1h,0,,,,,,,,missing,missing,no_swap_logs
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,0x940181A94A35A4569E4529A3CDFB74E38FD98631/0x4200000000000000000000000000000000000006,,6h,0,,,,,,,,missing,missing,no_swap_logs
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,0x940181A94A35A4569E4529A3CDFB74E38FD98631/0x4200000000000000000000000000000000000006,,24h,0,,,,,,,,missing,missing,no_swap_logs
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,0x4200000000000000000000000000000000000006/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,1h,0,,,,,,,,missing,missing,no_swap_logs
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,0x4200000000000000000000000000000000000006/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,6h,0,,,,,,,,missing,missing,no_swap_logs
