pool_id,token_pair,protocol_detected,window,log_count,trader_proxy_method,unique_traders,buyer_count,seller_count,buy_count,sell_count,top1_trader_volume_share,top5_trader_volume_share,concentration_status,data_quality_status,failure_reason
0xc200f21efe67c7f41b81a854c26f9cda80593065,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,uniswap_v3_like,1h,570,event_sender_recipient,52,20,29,299,271,27.88,73.21,warn,ok,
0xc200f21efe67c7f41b81a854c26f9cda80593065,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,uniswap_v3_like,6h,1738,event_sender_recipient,77,30,39,880,858,27.09,76.68,warn,ok,
0xc200f21efe67c7f41b81a854c26f9cda80593065,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,uniswap_v3_like,24h,6270,event_sender_recipient,117,57,50,3130,3140,30.23,75.11,warn,ok,
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,0xDCF5130274753C8050AB061B1A1DCBF583F5BFD0/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,uniswap_v3_like,1h,1070,event_sender_recipient,3,2,2,481,589,99.72,100.00,high,ok,
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,0xDCF5130274753C8050AB061B1A1DCBF583F5BFD0/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,uniswap_v3_like,6h,4866,event_sender_recipient,15,7,4,2438,2428,99.02,99.69,high,ok,
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,0xDCF5130274753C8050AB061B1A1DCBF583F5BFD0/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,uniswap_v3_like,24h,8865,event_sender_recipient,35,14,8,4458,4406,98.41,99.27,high,ok,
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,1h,0,carried_forward,,,,,,,,missing,missing,no_swap_logs
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,6h,0,carried_forward,,,,,,,,missing,missing,no_swap_logs
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,24h,0,carried_forward,,,,,,,,missing,missing,no_swap_logs
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,0x940181A94A35A4569E4529A3CDFB74E38FD98631/0x4200000000000000000000000000000000000006,,1h,0,carried_forward,,,,,,,,missing,missing,no_swap_logs
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,0x940181A94A35A4569E4529A3CDFB74E38FD98631/0x4200000000000000000000000000000000000006,,6h,0,carried_forward,,,,,,,,missing,missing,no_swap_logs
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,0x940181A94A35A4569E4529A3CDFB74E38FD98631/0x4200000000000000000000000000000000000006,,24h,0,carried_forward,,,,,,,,missing,missing,no_swap_logs
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,0x4200000000000000000000000000000000000006/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,1h,0,carried_forward,,,,,,,,missing,missing,no_swap_logs
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,0x4200000000000000000000000000000000000006/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,6h,0,carried_forward,,,,,,,,missing,missing,no_swap_logs
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,0x4200000000000000000000000000000000000006/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,,24h,0,carried_forward,,,,,,,,missing,missing,no_swap_logs
0xe640781d47992636fe7dd4822f2cdf6cb7d5e331f346bc58776a577ecd493fea,0xE66E242725EB87CC014B186474AB5189906457D6/0x4200000000000000000000000000000000000006,unsupported_pool_type,1h,,carried_forward,,,,,,,,missing,unsupported,unsupported_pool_type
0xe640781d47992636fe7dd4822f2cdf6cb7d5e331f346bc58776a577ecd493fea,0xE66E242725EB87CC014B186474AB5189906457D6/0x4200000000000000000000000000000000000006,unsupported_pool_type,6h,,carried_forward,,,,,,,,missing,unsupported,unsupported_pool_type
0xe640781d47992636fe7dd4822f2cdf6cb7d5e331f346bc58776a577ecd493fea,0xE66E242725EB87CC014B186474AB5189906457D6/0x4200000000000000000000000000000000000006,unsupported_pool_type,24h,,carried_forward,,,,,,,,missing,unsupported,unsupported_pool_type
