horizon,entry_size_usd,research_position_count,completed_count,invalid_count,median_net_pnl_pct,p10,p5,p1,win_rate,fee_estimate_median,price_loss_median,exit_slippage_median,exit_depth_fail_count,data_quality_fail_count,top_loss_pool,top_loss_position,top_positive_pool
15m,10.00,124,124,0,-0.000414,-0.014342,-0.026682,-0.032035,0.459677,0.000359,-0.004376,0.000190,0,75,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-5bdbb20ced4f92f0012d,0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa
15m,20.00,124,124,0,-0.000425,-0.014361,-0.026701,-0.032205,0.451613,0.000718,-0.008752,0.000759,0,75,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-426021aae50b2f19400b,0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa
15m,50.00,124,124,0,-0.000461,-0.014871,-0.026758,-0.032716,0.451613,0.001795,-0.021881,0.004742,0,75,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-2aff77724ad7f5539b6e,0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa
30m,10.00,124,120,4,-0.000409,-0.018824,-0.023977,-0.034332,0.483333,0.000718,-0.004531,0.000190,0,76,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-8f05c42611da0e537f8d,0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa
30m,20.00,124,120,4,-0.000424,-0.018843,-0.024147,-0.034351,0.483333,0.001436,-0.009062,0.000759,0,76,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-d578a327725e9e1842fb,0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa
30m,50.00,124,120,4,-0.000471,-0.018900,-0.024658,-0.034408,0.483333,0.003589,-0.022655,0.004742,0,76,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-7e7307bbede319deec73,0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa
1h,10.00,124,120,4,-0.000010,-0.024322,-0.037878,-0.041870,0.500000,0.001436,-0.001139,0.000190,0,76,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-8f05c42611da0e537f8d,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf
1h,20.00,124,120,4,-0.000025,-0.024424,-0.037897,-0.041889,0.500000,0.002871,-0.002278,0.000759,0,76,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-d578a327725e9e1842fb,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf
1h,50.00,124,120,4,-0.000072,-0.024439,-0.037954,-0.041946,0.500000,0.007178,-0.005694,0.004742,0,76,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-7e7307bbede319deec73,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf
2h,10.00,124,112,12,-0.000192,-0.025746,-0.045062,-0.070009,0.491071,0.002871,-0.004268,0.000190,0,78,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-8f05c42611da0e537f8d,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf
2h,20.00,124,112,12,-0.000204,-0.025765,-0.045068,-0.070179,0.491071,0.005742,-0.008535,0.000759,0,78,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-d578a327725e9e1842fb,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf
2h,50.00,124,112,12,-0.000240,-0.025822,-0.045083,-0.070690,0.491071,0.014356,-0.021338,0.004742,0,78,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,tierc-rp-7e7307bbede319deec73,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf
6h,10.00,124,97,27,-0.003040,-0.050838,-0.062995,-0.092339,0.432990,0.008614,-0.037082,0.000190,0,82,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,tierc-rp-f1e93b396cc05888708e,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf
6h,20.00,124,97,27,-0.003059,-0.050857,-0.063014,-0.092358,0.432990,0.017227,-0.074163,0.000759,0,82,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,tierc-rp-fce6d232a52e8061df63,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf
6h,50.00,124,97,27,-0.003116,-0.050914,-0.063071,-0.092415,0.432990,0.043069,-0.185408,0.004742,0,82,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,tierc-rp-2b0275c7b98fffb3209e,0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf
