run_id,research_position_id,pool_id,entry_size_usd,horizon,entry_time,target_time,exit_time,simulated_entry_value_usd,simulated_exit_value_usd,fee_estimate_usd,price_loss_or_il_usd,exit_slippage_estimate_usd,net_pnl_usd,net_pnl_pct,exit_depth_status,data_quality_status,invalid_reason,price_spike_down_flag,volume_collapse_flag,quarantine_trigger_flag
20260529_162852,tierc-rp-b0b5492cd8c452e253bb,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,10.00,15m,1779870700,1779871600,1779871800,10.00,9.683900,0.000240,-0.316150,0.000190,-0.316100,-0.031610,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-b0b5492cd8c452e253bb,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,10.00,30m,1779870700,1779872500,1779872700,10.00,9.656683,0.000479,-0.343607,0.000190,-0.343317,-0.034332,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-b0b5492cd8c452e253bb,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,10.00,1h,1779870700,1779874300,1779874500,10.00,9.850603,0.000959,-0.150166,0.000190,-0.149397,-0.014940,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-b0b5492cd8c452e253bb,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,10.00,2h,1779870700,1779877900,1779878100,10.00,9.843018,0.001917,-0.158709,0.000190,-0.156982,-0.015698,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-b0b5492cd8c452e253bb,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,10.00,6h,1779870700,1779892300,1779892500,10.00,9.667419,0.005752,-0.338142,0.000190,-0.332581,-0.033258,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-1e7bdd1c769c3d9098a4,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,20.00,15m,1779870700,1779871600,1779871800,20.00,19.367421,0.000479,-0.632299,0.000759,-0.632579,-0.031629,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-1e7bdd1c769c3d9098a4,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,20.00,30m,1779870700,1779872500,1779872700,20.00,19.312986,0.000959,-0.687214,0.000759,-0.687014,-0.034351,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-1e7bdd1c769c3d9098a4,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,20.00,1h,1779870700,1779874300,1779874500,20.00,19.700826,0.001917,-0.300332,0.000759,-0.299174,-0.014959,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-1e7bdd1c769c3d9098a4,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,20.00,2h,1779870700,1779877900,1779878100,20.00,19.685657,0.003834,-0.317419,0.000759,-0.314343,-0.015717,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-1e7bdd1c769c3d9098a4,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,20.00,6h,1779870700,1779892300,1779892500,20.00,19.334460,0.011503,-0.676285,0.000759,-0.665540,-0.033277,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-5552e644e66830caba54,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,50.00,15m,1779870700,1779871600,1779871800,50.00,48.415708,0.001198,-1.580748,0.004742,-1.584292,-0.031686,sufficient,ok,missing,0,0,0
20260529_162852,tierc-rp-5552e644e66830caba54,0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,50.00,30m,1779870700,1779872500,1779872700,50.00,48.279621,0.002397,-1.718034,0.004742,-1.720379,-0.034408,sufficient,ok,missing,0,0,0
