pool_id,token_pair,source_verdict,buyers_24h,sellers_24h,buy_count_24h,sell_count_24h,unique_traders_24h,top1_trader_volume_share,top5_trader_volume_share,top10_holder_pct,exit_depth_usd,slippage_10usd,tvl_change_1h,volume_change_1h,price_move_5m,price_move_15m,price_move_30m,reclassification,reclass_reason
0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,0xAB6363DA0C80CEF3AE105BD6241E30872355D021/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,WATCH,559,550,7660,7154,119,44.92,69.70,95.13,578.03,0.008650,-0.000002,1.070289,-1.343,-1.123,-1.826,REJECT,prior_reject_freeze
0xc200f21efe67c7f41b81a854c26f9cda80593065,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,WATCH,723,737,3051,3143,123,36.75,77.64,54.38,4604.06,0.001086,-0.000005,-0.100924,-0.115,0.339,-0.158,WATCH_RISK_HIGH,holder_concentration_extreme;top1_trader_share_high;top5_trader_share_high
0x659be70647b0f63217d60e077f4417b1ecc65064,0x16EE7ECAC70D1028E7712751E2EE6BA808A7DD92/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,WATCH,235,264,2597,2648,103,42.65,87.25,81.84,4661.78,0.001073,-0.000002,0.535021,-0.836,-0.708,0.172,REJECT,holder_concentration_extreme;top1_trader_share_high;top5_trader_share_extreme
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,0xDCF5130274753C8050AB061B1A1DCBF583F5BFD0/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,WATCH,,,3224,3373,32,98.93,99.56,76.24,3098.79,0.001614,,,,,,WATCH_DATA_MISSING,tvl_change_1h;volume_change_1h;price_move_5m/15m/30m
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,0x4ED4E862860BED51A9570B96D89AF5E1B0EFEFED/0x4200000000000000000000000000000000000006,WATCH,,,7947,9260,245,31.57,58.02,60.46,20123.65,0.000248,,2.434747,,,,REJECT,prior_reject_freeze
0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,0x4200000000000000000000000000000000000006/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,WATCH,,,8263,9363,,,,54.38,8840.66,0.000566,,-0.253325,,,,REJECT,prior_reject_freeze
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,WATCH,,,4588,4217,,,,89.86,10305.18,0.000485,0.000052,-0.258564,-0.031,-0.561,0.079,WATCH_DATA_MISSING,unique_traders;trader_concentration
0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,WATCH,,,16771,8958,,,,46.40,5064.59,0.000987,0.000001,-0.177182,-0.068,0.002,1.642,REJECT,prior_reject_freeze
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B/0x4200000000000000000000000000000000000006,WATCH,,,5286,5280,278,28.11,63.10,54.38,10283.75,0.000486,-0.000000,-0.532112,-0.161,-0.133,0.002,REJECT,holder_concentration_extreme
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,0x940181A94A35A4569E4529A3CDFB74E38FD98631/0x4200000000000000000000000000000000000006,WATCH,,,2166,5898,,,,68.00,3336.06,0.001499,-0.000007,,,,,WATCH_DATA_MISSING,unique_traders;trader_concentration;tvl_change_1h;volume_change_1h;price_move_5m/15m/30m
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,0x4200000000000000000000000000000000000006/0xCBB7C0000AB88B473B1F5AFD9EF808440EED33BF,WATCH,,,2576,3070,,,,89.86,17136.70,0.000292,-0.000012,-0.316010,-0.083,-0.009,-0.163,WATCH_DATA_MISSING,unique_traders;trader_concentration
0xe640781d47992636fe7dd4822f2cdf6cb7d5e331f346bc58776a577ecd493fea,0xE66E242725EB87CC014B186474AB5189906457D6/0x4200000000000000000000000000000000000006,WATCH,,,,,,,,99.99,,,-0.000114,1.480116,0,0,0,WATCH_DATA_MISSING,buyers_24h;sellers_24h;buy_count_24h;sell_count_24h;exit_depth_usd;slippage_10usd;unique_traders;trader_concentration
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,0x9126236476EFBA9AD8AB77855C60EB5BF37586EB/0x833589FCD6EDB6E08F4C7C32D4F71B54BDA02913,REJECT,,,12731,13084,115,41.93,75.77,91.39,20602.59,0.000243,-0.000001,,,,,REJECT,prior_reject_freeze
0x263dd54f58cedff35c85a98a61fda06f3bba55a567de33fe9f884d851652e37a,0x0000000000000000000000000000000000000000/0x0B3E328455C4059EEB9E3F84B5543F74E24E7E1B,REJECT,,,2196,2387,,,,46.40,1182.74,0.004227,-0.000005,-0.094656,-0.109,-0.04,-0.189,REJECT,prior_reject_freeze
0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,0x832B55B0FA6397CA9E63B8C15DADEF3F6E44614C/0x0000000000000000000000000000000000000000,REJECT,,,10728,10734,,,,82.96,715.99,0.006983,-0.000001,-0.141779,-0.084,-0.038,-0.273,REJECT,prior_reject_freeze
