pool_id,unique_traders_1h,unique_traders_6h,unique_traders_24h,top1_trader_volume_share,top5_trader_volume_share,buy_count_24h,sell_count_24h,buyers_24h,sellers_24h,concentration_status,source,failure_reason
0xe47f7dba68a00dc1a6f11458bcdfca810e1cfebf,14,42,119,44.92,69.70,7660,7154,559,550,warn,rpc_swap_logs_tx_share_proxy,
0xc200f21efe67c7f41b81a854c26f9cda80593065,30,62,123,36.75,77.64,3051,3143,723,737,warn,rpc_swap_logs_tx_share_proxy,
0x659be70647b0f63217d60e077f4417b1ecc65064,31,65,103,42.65,87.25,2597,2648,235,264,high,rpc_swap_logs_tx_share_proxy,
0xe8f16fbf4eafec04bcf0c06d768e7ba325f9d6de,9,13,32,98.93,99.56,3224,3373,,,high,rpc_swap_logs_tx_share_proxy,
0xc9034c3e7f58003e6ae0c8438e7c8f4598d5acaa,53,104,245,31.57,58.02,7947,9260,,,warn,rpc_swap_logs_tx_share_proxy,
0x82dbe18346a8656dbb5e76f74bf3ae279cc16b29,,,,,,8263,9363,,,missing,rpc_swap_logs_tx_share_proxy,
0x0ba69825c4c033e72309f6ac0bde0023b15cc97c,,,,,,4588,4217,,,missing,rpc_swap_logs_tx_share_proxy,
0x7cb770d0513c30e0cb45e4899e4a2cbeed6f9830,,,,,,16771,8958,,,missing,rpc_swap_logs_tx_share_proxy,
0x9c087eb773291e50cf6c6a90ef0f4500e349b903,68,126,278,28.11,63.10,5286,5280,,,warn,rpc_swap_logs_tx_share_proxy,
0x20cb8f872ae894f7c9e32e621c186e5afce82fd0,,,,,,2166,5898,,,missing,rpc_swap_logs_tx_share_proxy,
0x3f9b863ef4b295d6ba370215bcca3785fcc44f44,,,,,,2576,3070,,,missing,rpc_swap_logs_tx_share_proxy,
0xe640781d47992636fe7dd4822f2cdf6cb7d5e331f346bc58776a577ecd493fea,,,,,,,,,,missing,rpc_swap_logs_tx_share_proxy,unsupported_pool_id
0x3c4384f3664b37a3cb5a5cb3452b4b4a3aa1256f,18,62,115,41.93,75.77,12731,13084,,,warn,rpc_swap_logs_tx_share_proxy,
0x263dd54f58cedff35c85a98a61fda06f3bba55a567de33fe9f884d851652e37a,,,,,,2196,2387,,,missing,rpc_swap_logs_tx_share_proxy,unsupported_pool_id
0xdc5a40b5be693afb1864c558da73e7d51b70579e53689cb3a41f85e6cdd6a7f6,,,,,,10728,10734,,,missing,rpc_swap_logs_tx_share_proxy,unsupported_pool_id
